TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Sectors,Date TOI Created (UTC),Date TOI Modified (UTC),Comments
92226327,256.02,,5,5,5,5,5,5,5,,PC,KP,11.2991,0.007,,2,spoc,44:59.7,-15:16:26.79,317.585,0.121,-596.617,0.085,2458389.293,.002136.0,3.778378,0.000784,1.028338,0.2879,3.626738,0.326564,3334.77603,3334.77603,1.136554,0.410558,4.876768,379.011837,10.993547,14.9861,0.01525,3166,157,5.03724,0.0210634,0.215535,0.00655817,3,11/30/18 22:06,9/12/19 16:42,LHS-1140c
200723869,257.01,,1,4,1,3,2,4,4,,PC,,7.0286,0.006,,1,qlp,10:04.1,-50:49:56.15,97.912,0.052,27.911,0.082,2458385.776,.00105.0,18.37073,0.0008,6.319,0.267,1.395057,0.000221,1284.07,1284.07,7.79111,0.208925,112.672,907,61,76.9028,0.1948,6382.67,111.273,4.05151,0.0809034,1.76557,0.072387,4,11/30/18 22:06,6/13/19 4:18,First event is a partial transit
350445771,258.01,,5,5,5,5,5,5,5,,PC,FP,11.0932,0.006,,3,spoc,41:52.2,-56:44:25.64,-7.586,0.055,19.147,0.05,2458326.801,.001485.0,3.190394,0.000106,1.806342,0.080928,3.738368,0.226808,3437.243608,3437.243608,14.782861,4.983982,1888.558098,1681.32758,19.98294,530.555,6.4035,6474.57,138.721,3.96112,0.0933687,1.98958,0.101487,"1,2,3",11/30/18 22:06,9/12/19 16:45,possible secondary
12862099,259.01,,5,5,5,5,5,5,5,,PC,KP,12.3993,0.007,,1,spoc,15:36.8,-11:56:17.75,15.281,0.079,-30.047,0.044,2458386.578,.000681.0,2.423823,0.000137,2.248401,0.054273,17.696733,0.327315,16167.17837,16167.17837,12.256272,0.248194,549.914052,1235.07535,36.095585,364.512,5.573,5480,129.584,4.45226,0.0818556,0.963912,0.0542714,3,11/30/18 22:06,9/12/19 16:42,WASP-44
37749396,260.01,,1,4,1,2,4,4,4,,PC,,8.4991,0.006,,1,spoc,19:05.5,-09:57:58.14,-36.593,0.126,-301.435,0.062,2458392.294,.00257.0,13.470018,0.003236,1.998396,0.343922,0.745653,0.070137,686.53595,686.53595,1.637881,1.525768,11.13865,465.937745,8.303118,20.1852,0.02315,4049,120.915,4.65519,0.115546,0.618173,0.0598643,3,11/30/18 22:06,8/16/19 12:00,only two transits
63898957,261.01,,2,5,5,2,4,3,4,,PC,,9.03971,0.006,,2,spoc,00:52.3,-24:25:26.38,108.36,0.088,-11.198,0.061,2458387.286,.002961.0,3.361391,0.000985,3.154215,0.649077,0.458539,0.045212,422.240474,422.240474,2.746611,2.407731,1484.322998,1583.076324,8.706955,114.495,0.5545,5890.3,105.298,4.25251,0.0689598,1.28018,0.0545025,3,11/30/18 22:06,9/16/19 12:00,ambiguous period
63898957,261.02,,1,4,1,2,4,3,4,,PC,,9.03971,0.006,,2,spoc,00:52.3,-24:25:26.38,108.36,0.088,-11.198,0.061,2458389.727,.003037.0,13.039359,0.004316,4.921832,0.531445,0.679449,0.063009,625.599569,625.599569,3.348222,1.269619,243.526095,1007.525683,10.275119,114.495,0.5545,5890.3,105.298,4.25251,0.0689598,1.28018,0.0545025,3,11/30/18 22:06,9/16/19 12:00,ambiguous period; many transits; need photometry to constrain period
70513361,262.01,,2,5,5,4,4,2,4,,PC,PC,8.1345,0.006,,1,spoc,10:08.3,-31:04:14.26,240.041,0.147,-175.854,0.133,2458389.84,.001816.0,11.146909,0.002487,1.357828,0.278714,0.703109,0.067536,647.37743,647.37743,2.443881,0.688732,57.337255,701.825226,10.47471,43.932,0.1171,5302.58,135.781,4.53963,0.0896144,0.848675,0.0516382,3,11/30/18 22:06,7/31/19 10:32,ambiguous period
120916706,263.01,,2,4,4,2,1,4,4,,PC,,15.6198,0.01,,1,spoc,28:26.0,-25:05:50.38,30.333,0.181,10.142,0.179,2458386.172,.00147.0,0.556737,0.000073,0.852671,0.16541,71.438201,6.223868,63679.09555,63679.09555,5.224526,1.35549,64.325653,722.296983,10.406471,277.404,7.881,3423,157,4.79067,0.00996246,0.439738,0.0167967,3,11/30/18 22:06,7/31/19 12:00,
122612091,264.01,,5,5,5,5,5,5,5,,PC,KP,10.4614,0.008,,1,spoc,44:09.6,-30:10:08.68,7.447,0.064,-7.817,0.088,2458383.398,.000735.0,2.216794,0.000051,3.881758,0.044936,4.679134,0.053415,4300.368098,4300.368098,13.803204,0.145542,3880.620661,2013.005899,45.325783,434.754,8.379,5773.47,111.088,3.60099,0.0744374,2.66047,0.12794,"3,4",11/30/18 22:06,9/12/19 16:42,
159951311,265.01,,5,5,5,5,5,5,5,,PC,KP,11.7276,0.006,,1,spoc,18:14.9,-41:18:07.28,-16,0.035,24.512,0.055,2458387.571,.00052.0,5.924426,0.000114,2.83538,0.048764,13.099389,0.147524,11992.49332,11992.49332,8.754633,0.173841,117.18212,839.141282,89.092186,212.472,1.104,5151,139.229,4.52216,0.0903798,0.846671,0.0549573,"3,4",11/30/18 22:06,9/12/19 16:42,
164767175,266.01,,3,4,4,4,4,3,4,,PC,,9.45661,0.006,,2,spoc,44:50.2,-18:24:04.98,-87.067,0.071,-110.708,0.053,2458393.079,.003507.0,10.767807,0.004925,3.397389,0.758994,0.706621,0.082876,650.610352,650.610352,2.407741,1.944029,104.770454,815.979892,9.309046,101.694,0.419,5784,116.247,4.52729,0.0744537,0.918917,0.0420301,3,11/30/18 22:06,10/6/19 12:00,period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission
164767175,266.02,,3,5,5,4,4,3,4,,PC,,9.45661,0.006,,2,spoc,44:50.2,-18:24:04.98,-87.067,0.071,-110.708,0.053,2458392.105,.004409.0,6.19132,0.003482,3.4164,1.161866,0.374905,0.068174,345.240264,345.240264,1.759371,2.874777,219.127828,981.282679,8.478584,101.694,0.419,5784,116.247,4.52729,0.0744537,0.918917,0.0420301,3,11/30/18 22:06,10/6/19 12:00,period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission
166836920,267.01,,5,5,5,5,5,5,5,,PC,KP,8.93,0.006,,1,spoc,39:35.4,-50:00:29.5,-1.868,0.048,-39.856,0.05,2458387.96,.00042.0,5.75244,0.000221,5.385902,0.035574,5.864296,0.04428,5386.655432,5386.655432,13.179698,0.113059,788.311133,1351.431895,137.02477,158.66,0.8045,6079,131.581,4.02935,0.0824948,1.70927,0.0782412,3,11/30/18 22:06,9/12/19 16:42,WASP-99
219253008,268.01,,3,4,3,3,2,4,4,,PC,,9.6,0.05,,1,spoc,23:39.8,-53:51:03.43,-21.175,0.184,1.814,0.224,2458385.127,.000967.0,5.066148,0.000107,6.157278,0.07615,2.100114,0.03942,1932.407299,1932.407299,12.532709,2.043398,2379.984653,1781.40755,41.065517,305.3046,19.0452,,,,,,,"3,4,5",11/30/18 22:06,6/17/19 14:58,
220479565,269.01,,3,4,3,3,2,4,4,,PC,,12.2958,0.007,,1,spoc,03:23.1,-54:10:39.8,26.472,0.043,-120.75,0.043,2458381.847,.000863.0,3.697675,0.000049,0.876424,0.169948,5.184554,0.249762,4763.767863,4763.767863,7.103697,1.746575,69.181652,735.558947,20.60312,57.0225,0.07565,3546,157,4.82857,0.0033732,0.397924,0.011947,"3,4,5,6",11/30/18 22:06,6/17/19 14:58,
259377017,270.01,,1,4,1,1,4,4,4,,PC,,10.4981,0.007,,3,spoc,33:39.9,-51:57:26.62,82.944,0.05,-269.755,0.051,2458383.842,.000601.0,5.660182,0.000068,1.640464,0.087817,4.272188,0.090846,3927.099359,3927.099359,2.616094,0.484846,11.0601,465.114106,41.599045,22.4793,0.01355,3532,157,4.85053,0.00208994,0.374358,0.0114957,"3,4,5",11/30/18 22:06,8/16/19 12:00,
259377017,270.02,,1,4,1,1,4,4,4,,PC,,10.4981,0.007,,3,spoc,33:39.9,-51:57:26.62,82.944,0.05,-269.755,0.051,2458389.678,.000899.0,11.380259,0.000242,2.128046,0.143122,3.461592,0.107851,3183.166685,3183.166685,2.35486,0.478431,4.35843,368.512545,32.336864,22.4793,0.01355,3532,157,4.85053,0.00208994,0.374358,0.0114957,"3,4,5",11/30/18 22:06,8/16/19 12:00,
259377017,270.03,,1,4,1,1,4,4,4,,PC,,10.4981,0.007,,3,spoc,33:39.9,-51:57:26.62,82.944,0.05,-269.755,0.051,2458383.732,.001651.0,3.360137,0.000121,1.393345,0.48356,1.045204,0.088644,962.205101,962.205101,1.297578,1.412756,22.167851,553.414648,14.305143,22.4793,0.01355,3532,157,4.85053,0.00208994,0.374358,0.0114957,"3,4,5",11/30/18 22:06,8/16/19 12:00,
259511357,271.01,,1,5,5,1,4,4,4,,PC,,8.412,0.021,,1,spoc,43:06.1,-50:13:10.14,33.12,0.051,38.371,0.057,2458382.228,.001019.0,2.476082,0.000056,1.050608,0.1897,0.416361,0.025687,383.409029,383.409029,2.441117,1.540949,1219.413517,1507.15355,16.439299,85.25114,7.38185,,,,,,,"3,4,5",11/30/18 22:06,5/17/19 16:00,CPC
268766053,272.01,,5,5,5,5,5,5,5,,PC,KP,11.7617,0.006,,1,spoc,07:38.2,-20:39:42.63,-9.079,0.057,8.19,0.058,2458386.232,.00046.0,3.30968,0.000124,2.283755,0.035981,21.166679,0.268944,19306.42895,19306.42895,11.739523,0.150417,204.853549,964.896259,69.82393,201.338,1.371,4960,120.539,4.48322,0.0870323,0.858619,0.053191,3,11/30/18 22:06,9/12/19 16:42,WASP-53
279740441,273.01,,3,5,5,3,5,4,4,,PC,FP,11.481,0.006,,1,spoc,26:01.1,-64:32:53.19,-21.479,0.045,109.97,0.043,2458386.095,.001413.0,0.741859,0.000089,1.502696,0.119604,3.244273,0.188664,2983.625732,2983.625732,6.023835,7.466215,740.864334,1330.621148,16.765955,106.16,0.2315,4304.6,103.175,4.54948,0.0907316,0.719998,0.0544472,3,11/30/18 22:06,9/12/19 16:45,still can be a planet on 279740439
281979481,274.01,,2,5,5,2,2,4,4,,PC,,10.4929,0.006,,1,spoc,42:01.3,-75:48:06.73,38.707,0.038,-81.363,0.04,2458386.381,.002218.0,0.542248,0.000106,1.014235,0.140909,0.756522,0.219512,696.539405,696.539405,2.872933,0.80413,2843.094062,1862.376816,8.449253,113.378,0.261,5164,125.975,4.56352,0.0853126,0.807298,0.0471181,3,11/30/18 22:06,6/13/19 4:18,needs follow-up to check if signal is on-target
373844472,275.01,,5,5,5,5,5,5,5,,PC,FP,11.0611,0.006,,1,spoc,5:26:04,-67:13:57.98,-18.728,0.125,52.948,0.135,2458326.061,.000213.0,0.919476,0.000004,1.463932,0.021281,11.303352,0.111891,10356.7672,10356.7672,17.936441,18.680464,2992.591576,1886.390549,105.71457,144.866,1.3165,5659,136.243,4.61212,0.0817306,0.818416,0.0421306,"1,3",11/30/18 22:06,9/12/19 16:45,v-shaped; likely EB
382188882,276.01,,5,5,5,5,5,5,5,,PC,FP,10.6559,0.006,,1,spoc,25:24.7,-55:01:11.73,13.499,0.041,-5.494,0.042,2458387.76,.001184.0,4.800523,0.000607,2.058526,0.087929,5.866759,0.326014,5388.911854,5388.911854,14.952258,5.252722,968.365634,1422.753268,27.180143,352.383,2.361,6443,139.838,4.15424,0.0915159,1.58083,0.0739598,3,11/30/18 22:06,9/12/19 16:45,likely EB
439456714,277.01,,4,4,4,4,4,4,4,,PC,,11.7315,0.007,,1,spoc,16:18.4,-20:57:11.8,-115.432,0.067,-249.177,0.049,2458389.029,.001801.0,3.994244,0.000716,2.035741,0.136515,6.297592,0.358365,5783.507445,5783.507445,4.323406,0.672682,28.711599,590.383342,15.177195,64.6692,0.13825,3668,157,4.71724,0.00895625,0.523113,0.015618,3,11/30/18 22:06,9/24/19 16:34,check that 439456712 is not the target
244161191,278.01,,4,4,4,5,3,5,5,,O,,13.1672,0.008,,1,spoc,19:32.1,-05:54:41.62,108.144,0.343,-68.177,0.182,2458386.107,.000835.0,0.298746,0.000023,1.046606,0.071629,13.159412,0.777687,12047.11181,12047.11181,2.630575,2.642784,87.896848,780.93174,13.262328,44.397,0.2863,2950,157,4.925,0.00522267,0.300639,0.00921362,3,11/30/18 23:29,8/14/19 16:04,possible dipper; not a planet candidate; Rstar may be larger than stated
