time,time,flux,flux_err,quality,centroid_col,centroid_row
2596.091231241741,2596.091231241741,0.9993279671065475,3.589370100015263e-05,0,824.8413344779135,997.3273570164096
2596.193389212259,2596.193389212259,0.9994367547736672,3.589482865464949e-05,0,824.8484299148267,997.3274577055748
2596.3118924952214,2596.3118924952214,1.000414512978209,3.586750015692247e-05,8192,825.146440457807,997.2987798926722
2596.418136834605,2596.418136834605,1.000438486492067,3.5839384275611366e-05,8192,825.2655666921582,997.2884075559252
2596.532553786534,2596.532553786534,0.9999785772310605,3.586496164060324e-05,0,825.0666149960649,997.3059006629671
2596.642884434089,2596.642884434089,0.9996342365791397,3.590233703734707e-05,0,824.9486434902294,997.3175803245316
2596.7450423990886,2596.7450423990886,1.0000687838864044,3.589443749511715e-05,0,824.9873738801303,997.311592980046
2596.847200379477,2596.847200379477,0.9999472668660516,3.589107568855743e-05,0,824.9923324657532,997.3121792078427
2596.949358315303,2596.949358315303,0.999914645101776,3.589111813626993e-05,0,825.015195037892,997.3101869386246
2597.051516346517,2597.051516346517,0.999987747501005,3.588762455103814e-05,0,825.039067815656,997.3082047361431
2597.153674273216,2597.153674273216,0.9999561669199604,3.588637219211677e-05,0,825.0739793508534,997.3041739550224
2597.2558322354903,2597.2558322354903,1.0000194726230847,3.588564363085655e-05,0,825.0965280659444,997.3030057103282
2597.357990193296,2597.357990193296,1.0000445923315664,3.587899484226142e-05,8192,825.1299497092896,997.299949976497
2597.460148186538,2597.460148186538,1.0002673790039263,3.586944563219364e-05,0,825.1746580988886,997.2960457137478
2597.56230607554,2597.56230607554,1.0000804590137757,3.585427552266151e-05,8192,825.2197321924921,997.291590584631
2597.6644640001205,2597.6644640001205,0.9999739240291735,3.5834221435824466e-05,0,825.2807149302037,997.2861933257224
2597.7666219403704,2597.7666219403704,1.0000251938850175,3.5796447636862474e-05,0,825.3536109118855,997.2798880711671
2597.8687799163354,2597.8687799163354,0.9999402649588074,3.576486539749701e-05,0,825.4014483396932,997.2754401248833
