class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,StarGap
not,231079905,0.459543248,0.906144389,0.647214272,0.587820931,0.666666667,0.035954812,0.606144389
toi,122613513,0.601654898,0.417734763,0.418878318,0.07768542,0.666666667,0.008359678,0.117734763
not,277533870,0.321612974,0.429244049,0.429630069,0.073511799,0.333333333,0,0.129244049
toi,229811538,0.798609885,0.898770599,0.712819476,0.785697365,0.666666667,0.2131164,0.598770599
toi,359496368,0.561341571,0.282762229,0.302239251,0.027744517,0,0,0.017237771
not,278959348,0.475077229,0.892492807,0.666256445,0.598420807,0,0,0.592492807
toi,52368076,0.568259047,0.64452001,0.507592117,0.220582929,0.333333333,0,0.34452001
toi,61538902,0.697981024,0.826837562,0.699731903,0.634939438,0.333333333,0,0.526837562
not,177308913,0.613217123,0.166361496,0.204219121,0.008102613,0.333333333,0,0.133638504
not,300704414,0.502184466,0.699973843,0.440173339,0.176934078,0,0,0.399973843
not,67655714,0.458558032,0.193303688,0.251539376,0.012493075,0.333333333,0,0.106696312
not,220424856,0.577360989,0.552335862,0.430332907,0.110294655,0.333333333,0,0.252335862
not,231098372,0.508781995,0.825791263,0.711745695,0.569273044,0,0,0.525791263
not,36879392,0.349336937,0.217106984,0.27927987,0.016280769,1,0.027345284,0.082893016
not,149424264,0.54879744,0.899032174,0.618968264,0.534067668,0.666666667,0.032927592,0.599032174
not,234517584,0.343435569,0.348417473,0.402925703,0.049484026,0.333333333,0,0.048417473
not,267537284,0.260734775,0.933798064,0.753553412,0.82385947,0.333333333,0,0.633798064
not,149988104,0.669373345,0.124771122,0.11235022,0.002937447,0.333333333,0,0.175228878
not,382268851,0.803144307,0.129479466,0.091525849,0.002346797,0.666666667,0.037549884,0.170520534
toi,140691463,0.768843778,0.738163746,0.684831455,0.483740876,0,0,0.438163746
not,32550424,0.618159753,0.15537536,0.101457622,0.003027174,0.333333333,0,0.14462464
not,382200572,0.32902692,0.85113785,0.784330473,0.722622705,0.666666667,0.145178711,0.55113785
not,300708192,0.461639453,0.884645566,0.71744231,0.669524831,0.333333333,0,0.584645566
not,170274241,0.428089144,0.562385561,0.484209499,0.13880938,0.333333333,0,0.262385561
not,176933645,0.726279788,0.208998169,0.258062942,0.013915194,0.333333333,0,0.091001831
not,453101363,0.566835834,0.764582788,0.585150451,0.343380154,0.666666667,0.135385531,0.464582788
not,260843977,0.409819064,0.675908972,0.56235144,0.251109338,0.333333333,0,0.375908972
not,170867837,0.406674757,0.487052053,0.314032708,0.053646314,0.333333333,0,0.187052053
not,179517557,0.707921447,0.218938007,0.264396155,0.015074626,0.666666667,0.116382786,0.081061993
toi,234994474,0.461383495,0.243264452,0.329610197,0.027132348,0.333333333,0,0.056735548
not,260046328,0.338073698,0.823698666,0.68900107,0.534404834,0.333333333,0,0.523698666
not,375063320,0.261154016,0.895108553,0.850507431,0.93329428,0.333333333,0,0.595108553
not,150431839,0.372274934,0.952393408,0.818719342,1,0.333333333,0,0.652393408
not,60552999,0.403254634,0.30630395,0.357306763,0.034633707,0.333333333,0,0.00630395
not,150064391,0.247958959,0.863769291,0.651369942,0.535465579,0.666666667,0.067818626,0.563769291
toi,201604954,0.763779788,0.728223908,0.689914481,0.477050581,0.333333333,0,0.428223908
toi,178819686,0.494229921,0.707559508,0.545589307,0.298616027,0.333333333,0,0.407559508
not,279314081,0.28716902,0.600546691,0.462415239,0.144194177,0,0,0.300546691
not,231055581,0.465768976,0.12241695,0.114110802,0.002959321,0.333333333,0,0.17758305
not,364540782,0.340423654,0.917865551,0.778271283,0.840213888,0.333333333,0,0.617865551
toi,52280468,0.801467343,0.143342924,0.263723299,0.012322888,0.333333333,0,0.156657076
toi,92226327,0.689684466,0.091551138,0.063624986,0.001494516,0.333333333,0,0.208448862
not,261262184,0.580097087,0.326183625,0.390629521,0.043249875,0.333333333,0,0.026183625
not,349273158,0.330869373,0.769552707,0.959782036,0.844699325,0.333333333,0,0.469552707
toi,73228647,0.487091792,0.772168454,0.601292023,0.421330905,0,0,0.472168454
not,235048515,0.463185128,0.213444939,0.248606003,0.01339952,0.333333333,0,0.086555061
not,282501711,0.389977935,0.107768768,0.0950247,0.002184098,0.333333333,0,0.192231232
not,350862394,0.499657988,0.684802511,0.496650711,0.207941933,0,0,0.384802511
not,141121236,0.373841571,0.651059377,0.473587438,0.174193188,0.333333333,0,0.351059377
not,358290716,0.173852604,0.743395239,0.580942486,0.320327888,0.333333333,0,0.443395239
not,148337392,0.470123566,0.333246142,0.380405596,0.042523264,0.666666667,0.106217005,0.033246142
not,140943185,0.655240512,0.438399163,0.359549849,0.056578517,0.333333333,0,0.138399163
not,118608254,0.492451456,0.138896155,0.210796376,0.007463173,0.666666667,0.427677249,0.161103845
not,278727563,0.590059576,0.502223385,0.375346277,0.075055183,0.333333333,0,0.202223385
not,144155897,0.324922771,0.586803557,0.454746773,0.134496693,0.333333333,0,0.286803557
not,358510502,0.454313769,0.684540936,0.514064085,0.220400007,0.333333333,0,0.384540936
not,375058105,0.376522507,0.339523934,0.376555326,0.042818,0.333333333,0,0.039523934
not,439410069,0.199911739,0.684279362,0.510195686,0.217406054,0.333333333,0,0.384279362
not,257659158,0.366637246,0.52654983,0.444669969,0.107442008,0.333333333,0,0.22654983
toi,230982885,0.543005296,0.753335077,0.699885301,0.523842207,0.666666667,0.084564466,0.453335077
not,150299548,0.424304943,0.837038975,0.746762098,0.638403324,0.333333333,0,0.537038975
not,45464138,0.614276258,0.22861627,0.244010361,0.013899548,0.333333333,0,0.07138373
not,31814908,0.372495587,0.917603976,0.77668153,0.836595989,0,0,0.617603976
toi,360742636,0.683980583,0.752550353,0.63847063,0.444243357,0.333333333,0,0.452550353
not,406345385,0.412919241,0.526811405,0.329318742,0.06578124,0.333333333,0,0.226811405
not,44568897,0.885767873,0.001831023,0,2.85e-06,0.333333333,0,0.298168977
not,453833488,0.458735658,0.233847764,0.234933429,0.013423159,0.333333333,0,0.066152236
not,150358147,0.535569285,0.58749673,0.429878991,0.122652715,0.333333333,0,0.28749673
not,377018326,0.455847308,0.483390008,0.545408019,0.1323824,0.333333333,0,0.183390008
not,167571315,0.656487202,0.326105153,0.317714939,0.030942086,0,0,0.026105153
toi,101011575,0.391074581,0.491498823,0.352819894,0.075206414,0.333333333,0,0.191498823
not,32001057,0.218159753,0.845391054,0.891966518,0.899206475,0,0,0.545391054
not,149935360,0.504093116,0.522309704,0.398666839,0.088386099,0.333333333,0,0.222309704
toi,78055054,0.860359665,0.608422705,0.525435003,0.210489017,0,0,0.308422705
not,72923291,0.443065975,0.200627779,0.307108218,0.017608102,0.333333333,0,0.099372221
not,255563650,0.613305384,0.160083704,0.179607931,0.006541158,0.333333333,0,0.139916296
not,167721744,0.739872021,0.16714622,0.154489135,0.005485262,0.333333333,0,0.13285378
not,308841571,0.505806487,0.211352341,0.243688924,0.012882634,0.333333333,0,0.088647659
not,339961200,0.516935128,0.657598744,0.528903175,0.214357548,0.333333333,0,0.357598744
not,441493794,0.463191748,0.222338478,0.249822722,0.014024602,0.333333333,0,0.077661522
not,166675170,0.315677405,0.771122155,0.58239976,0.346551025,0.333333333,0,0.471122155
not,167343765,0.58505075,0.509024326,0.387056063,0.080680164,0.333333333,0,0.209024326
not,316976676,0.768038394,0.111169239,0.092893874,0.002165254,0.333333333,0,0.188830761
not,170636897,0.664320388,0.078995553,0.073860764,0.001377719,0.333333333,0,0.221004447
toi,309792357,0.550672992,0.618362543,0.525823377,0.217066027,0.333333333,0,0.318362543
not,73305532,0.553938658,0.188333769,0.205109522,0.009010952,0.333333333,0,0.111666231
not,176982916,0.616879965,0.371959194,0.367449806,0.046368466,0.333333333,0,0.071959194
not,413248763,0.407451456,0.176301334,0.164455074,0.00623555,0.333333333,0,0.123698666
not,134200185,0.480406002,0.427151452,0.437558613,0.075252179,0.333333333,0,0.127151452
not,167415965,0.326687996,0.661828407,0.469940768,0.177338298,0.333333333,0,0.361828407
