class,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,cluster
not,9.4676,5603,0.950003,0.801359,1,0,cluster4
toi,8.8287,6226,1.34658,2.814406,1,0,cluster1
not,8.94872,3951,0.646461,0.09175,1,0,cluster2
not,8.7571,4666,0.620803,0.164582,1,0,cluster4
toi,10.5173,5704.59,1.40065,2.146065,2,19443.64966,cluster3
not,10.3003,5939,0.899646,0.907176,1,0,cluster4
not,10.5811,3012,0.190622,0.002694,1,0,cluster2
not,8.0851,6101,0.997559,1.24216,1,0,cluster1
toi,10.0906,5409.22,1.02101,0.921902,1,0,cluster4
not,9.0985,4006,0.564062,0.073823,1,0,cluster2
not,9.2321,6198,1.15323,1.76819,1,0,cluster1
not,10.8372,3261,0.226407,0.005222,1,0,cluster2
not,11.7993,3250,0.200967,0.00406,0,0,cluster2
toi,10.5623,5250,0.948885,0.706562,1,0,cluster4
not,10.0966,5942,0.884581,0.878821,1,0,cluster4
not,7.8297,5803.43,1.39715,1.9949,1,0,cluster1
not,8.7905,4830,0.596589,0.174516,2,10750.51974,cluster3
not,8.21419,3646,0.524824,0.043852,1,0,cluster2
not,9.78558,3406,0.395902,0.019004,1,0,cluster2
not,9.52044,3454,0.4716,0.028519,1,0,cluster2
not,8.842,4043,0.704823,0.119583,1,0,cluster2
toi,8.235,5995,0.963393,1.238368,0,0,cluster4
not,9.87974,3403,0.438721,0.023255,1,0,cluster2
not,12.9879,3230,0.20355,0.004063,1,0,cluster2
toi,9.45661,5784,0.918917,0.976229,1,0,cluster4
not,7.5982,6441.44,1.25657,2.44906,1,0,cluster1
toi,10.4408,6072,1.09774,1.692045,1,0,cluster4
not,9.38692,3423,0.371318,0.017053,1,0,cluster2
not,10.1177,3485,0.56359,0.042212,1,0,cluster2
not,13.2698,3202,0.19169,0.00348,1,0,cluster2
not,7.7261,5287.04,0.798962,0.449363,1,0,cluster1
toi,9.954701,5655,0.850302,0.76377,1,0,cluster4
toi,8.7537,5464,0.896313,0.739687,1,0,cluster4
not,8.5581,4260,1.0451,0.324075,1,0,cluster2
not,9.267,6420,1.28615,2.53173,1,0,cluster1
not,9.4483,6812,1.25362,3.04878,1,0,cluster1
not,8.9797,6483,1.37083,2.99067,0,0,cluster4
not,9.3405,4559,0.748904,0.218286,1,0,cluster4
not,8.8967,7109,1.51765,5.29997,2,31788.59261,cluster3
not,7.3802,4610.95,0.725961,0.214626,1,0,cluster4
not,9.1129,6092,1.27099,2.00456,1,0,cluster1
not,7.4971,5276,0.812086,0.460382,0,0,cluster4
toi,14.8067,5088,0.942522,0.614975,2,3024.507504,cluster3
not,8.0914,7241,1.82507,8.2499,2,16401.88237,cluster3
not,12.5772,3455,0.330525,0.014025,1,0,cluster2
not,6.9845,4432.68,0.753695,0.197584,1,0,cluster4
not,9.5541,6639,1.13787,2.26616,1,0,cluster1
not,8.2481,5433,1.23991,1.20679,1,0,cluster1
not,12.3188,3339,0.279435,0.008744,0,0,cluster2
not,10.2112,5516.25,0.820647,0.561802,1,0,cluster4
not,7.9833,6037,1.61337,3.11491,1,0,cluster1
toi,7.9259,5560.26,0.962324,0.914343,0,0,cluster4
not,10.0834,4987,0.757607,0.319846,0,0,cluster4
not,10.6056,5023,0.710202,0.289275,0,0,cluster4
not,7.9565,5348.35,0.773555,0.44112,1,0,cluster1
not,12.564,3302,0.307978,0.010159,1,0,cluster2
not,9.1796,4664,0.906501,0.35032,1,0,cluster4
not,8.1242,5089.38,0.700681,0.296753,1,0,cluster4
not,8.8919,5909.88,0.83644,0.768916,1,0,cluster1
not,7.7286,4745.18,0.618071,0.174495,0,0,cluster4
not,7.4763,5169.35,0.813615,0.425869,1,0,cluster1
toi,11.185,6153,1.19109,2.1005,1,0,cluster4
not,8.184,5709,0.859954,0.707759,1,0,cluster1
not,9.40039,3825,0.526074,0.053372,1,0,cluster2
toi,10.846,3751,0.532439,0.057971,1,0,cluster2
not,10.2489,4880.26,0.680989,0.236999,1,0,cluster4
not,9.0075,5973,1.21476,1.69218,1,0,cluster1
not,9.7898,5597.22,0.946111,0.791532,1,0,cluster4
not,8.4793,6345,1.62746,3.86761,1,0,cluster1
toi,7.9059,4634,0.684487,0.223172,2,47839.68375,cluster3
not,8.3789,6158,1.18072,1.80613,1,0,cluster1
toi,10.0433,6674,1.44956,4.306289,1,0,cluster1
toi,12.5766,6190,1.12642,1.924196,1,0,cluster4
not,9.9839,5725.73,0.781818,0.591874,3,13206.67682,cluster3
not,10.3058,4063,0.68452,0.115041,1,0,cluster2
not,5.5226,6363,1.29515,2.47732,1,0,cluster1
not,11.2676,3264,0.237721,0.005779,1,0,cluster2
not,7.9629,4457,0.740454,0.194922,1,0,cluster4
not,7.4149,6238,1.34407,2.46445,1,0,cluster1
toi,8.0089,5346.17,0.798267,0.537717,2,4110.879817,cluster3
not,9.57692,3711,0.546095,0.050956,1,0,cluster2
toi,10.7791,3782,0.611136,0.078931,1,0,cluster2
toi,9.6768,5245,0.811062,0.514252,2,10970.00669,cluster3
toi,11.3473,6070,1.09036,1.667173,0,0,cluster4
not,9.47068,2905,0.155739,0.001556,1,0,cluster2
not,7.7295,4539,0.722798,0.199788,1,0,cluster4
not,11.0382,3543,0.58803,0.049088,1,0,cluster2
not,10.0835,5606.63,0.879985,0.689371,1,0,cluster4
toi,10.0793,5905.84,1.31852,2.184671,1,0,cluster4
toi,14.9181,4107,0.69386,0.141491,1,0,cluster2
not,9.7333,5330,0.88283,0.566706,1,0,cluster4
not,8.708,6483,1.4697,3.4376,2,6960.517886,cluster3
toi,12.4312,3383,0.351676,0.016733,1,0,cluster2
not,8.42784,3409,0.422848,0.021756,1,0,cluster2
not,10.5741,5330.74,0.771447,0.432969,2,24858.77118,cluster3
not,8.8776,5337.44,0.77627,0.440608,1,0,cluster4
not,10.1856,5739,0.963499,0.907281,1,0,cluster4
not,12.7874,3289,0.198152,0.004139,1,0,cluster2
not,13.0921,3269,0.267751,0.007376,1,0,cluster2
toi,12.1535,3460,0.394818,0.023077,0,0,cluster2
not,9.3987,5568,1.1291,1.10398,1,0,cluster4
not,7.0589,5300.76,0.846643,0.509857,1,0,cluster1
not,9.3155,6706,1.26749,2.92709,1,0,cluster1
not,10.9704,3571,0.228958,0.00768,1,0,cluster2
toi,9.9524,7874,2.80061,31.143891,1,0,cluster1
not,10.5269,4612,0.751127,0.229974,1,0,cluster4
not,11.5887,3324,0.246035,0.006658,1,0,cluster2
