class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep
toi,286132427,0.337566196,0.784663877,0.595965653,0.428751857,0.333333333,0
not,260995123,0.427460282,0.65681402,0.485396933,0.184665395,0.333333333,0
not,219410598,0.466251103,0.636934345,0.537669826,0.207710842,0.333333333,0
not,290543478,0.095355252,0.707046822,0.526658695,0.244677813,0.333333333,0
not,382268851,0.803144307,0.129479466,0.091525849,0.002346797,0.666666667,0.037549884
not,123366965,0.529266328,0.154329061,0.078737401,0.002252595,0.333333333,0
not,404452683,0.484981244,0.164268899,0.215287428,0.008672763,0.333333333,0
not,246897668,0.462338923,0.156421658,0.234358887,0.009496129,0.333333333,0
not,183532804,0.570024272,0.122155375,0.149519762,0.004217103,0,0
not,388205695,0.386760812,0.806434737,0.705393656,0.532972828,0.333333333,0
not,176932113,0.642122683,0.366570756,0.248288749,0.024584775,0.333333333,0
toi,1528696,0.895939982,0.484697881,0.459217604,0.113649366,0.333333333,0
not,143047975,0.335536187,0.39330892,0.352700663,0.046850347,0.666666667,0.019088051
toi,55650590,0.814585172,0.148312843,0.158550675,0.006007193,0.333333333,0
not,52687259,0.043744484,0.912932252,0.743645346,0.765067667,0.333333333,0
toi,276128561,0.608395852,0.63667277,0.574960692,0.267340292,0,0
toi,220475245,0.845123566,0.531781324,0.519786499,0.163327669,0.333333333,0
not,259592855,0.503883495,0.520795187,0.478780632,0.119514803,0.333333333,0
not,219238878,0.634190203,0.148574418,0.170750635,0.005768026,0.333333333,0
not,291471120,0.450099294,0.675647397,0.525446159,0.223160596,0.333333333,0
not,117768715,0.259808032,0.685215799,0.54096717,0.241071658,0.333333333,0
not,278198742,0.532480141,0.842270468,0.519925951,0.342544439,0.333333333,0
not,38583537,0.562444837,0.570494376,0.455985107,0.128559929,0.333333333,0
not,349518888,0.82923654,0.127125294,0.128081803,0.003516557,0,0
not,46825125,0.532926964,0.171331415,0.181427082,0.006991634,0.333333333,0
not,269849487,0.399635922,0.591459587,0.439293397,0.128709949,0.333333333,0
not,142017826,0.478067079,0.828482867,0.729776842,0.599401996,0.333333333,0
toi,92226327,0.689684466,0.091551138,0.063624986,0.001494516,0.333333333,0
not,234334027,0.425893645,0.551399425,0.466096075,0.125762593,0.333333333,0
not,31814908,0.372495587,0.917603976,0.77668153,0.836595989,0,0
not,350654290,0.536231244,0.625686634,0.490067878,0.171451919,0.333333333,0
toi,238932509,0.828000883,0.583049961,0.543075684,0.206448355,0.333333333,0
not,308841571,0.505806487,0.211352341,0.243688924,0.012882634,0.333333333,0
toi,29960109,0.678784201,0.165838347,0.225005142,0.01074444,0,0
not,100104021,0.408737864,0.490714099,0.363766181,0.068697531,0.333333333,0
not,306573721,0.50332083,0.678263144,0.574400095,0.262275197,0.333333333,0
not,263003176,0.263603266,0.910201413,0.706418628,0.693357503,0.333333333,0
toi,73723286,0.448345102,0.744179963,0.942782835,0.875711342,0.333333333,0
not,54257694,0.456977052,0.200366205,0.216220362,0.010270321,0.333333333,0
not,260638705,0.612080759,0.515040544,0.357907801,0.072405593,1,0.014947141
toi,177115354,0.717519859,0.746050222,0.601497017,0.39311706,0.333333333,0
not,261091639,0.424304943,0.459063563,0.299514358,0.045373638,0.333333333,0
not,55606252,0.581807149,0.575464295,0.514494992,0.16027318,0.333333333,0
toi,460984940,0.408859223,0.692649752,0.538304333,0.279889333,0.333333333,0
not,279088395,0.344108561,0.832069056,0.722915802,0.594791543,0.333333333,0
toi,74534430,0.529203442,0.373267068,0.343912396,0.048033088,0.333333333,0
not,167485954,0.361694616,0.482866858,0.331623884,0.057689269,0.333333333,0
toi,35009898,0.791890997,0.159037405,0.211735585,0.009518701,0.333333333,0
not,150139182,0.492578332,0.247972796,0.313276879,0.022207152,0.333333333,0
not,398271125,0.304523389,0.601098614,0.454271241,0.140170543,0.333333333,0
not,141407201,0.560028685,0.448600575,0.425567134,0.077302827,0.333333333,0
not,260795157,0.29576346,0.50462464,0.344297284,0.065773284,0.333333333,0
toi,149788158,0.656707855,0.218938007,0.260021545,0.016894913,0.333333333,0
not,382099053,0.538823919,0.686494899,0.604808306,0.293735763,0.333333333,0
not,206542524,0.688007502,0.092074287,0.096230263,0.00203326,0.333333333,0
not,349054977,0.775915711,0.213444939,0.199229528,0.009652703,0.666666667,0.249757409
not,30186108,0.86515887,0.080826576,0.116009441,0.002418007,0.333333333,0
not,21505943,0.698510591,0.108291917,0.116990486,0.002837112,0,0
not,349273158,0.330869373,0.769552707,0.959782036,0.844699325,0.333333333,0
not,271642286,0.928078111,0.072194612,0.045236842,0.000784316,0.333333333,0
not,257659158,0.366637246,0.52654983,0.444669969,0.107442008,0.333333333,0
not,393385130,0.309852162,0.613392624,0.520777306,0.183446675,0.333333333,0
toi,307210830,0.481533539,0.160345279,0.132392265,0.005007646,0.333333333,0
