class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep
not,80417903,0.495860547,0.227831546,0.275140236,0.016649908,0.333333333,0
not,300704414,0.502184466,0.699973843,0.440173339,0.176934078,0,0
not,388130597,0.466438658,0.752811928,0.650672682,0.4008608,0,0
not,231074610,0.488823919,0.88945854,0.63415459,0.544368262,0.666666667,0.046002277
not,293218142,0.511849073,0.784462464,0.541323469,0.316225077,0.333333333,0
not,316935835,0.332270521,0.509285901,0.425685668,0.094510766,0,0
toi,425997655,0.40859444,0.522364635,0.395408542,0.100043711,0.333333333,0
not,326197647,0.312312445,0.63381899,0.473263909,0.165488258,0.666666667,0.027389358
toi,36734222,0.669748455,0.342139681,0.441619456,0.064643538,0.333333333,0
not,257720478,0.424106355,0.80928067,0.496557278,0.290962293,0.333333333,0
not,177236338,0.717332304,0.15537536,0.219507944,0.008566007,0,0
not,98796344,0.418704766,0.148574418,0.105752047,0.003076336,0.333333333,0
not,364588832,0.8875,0.11849333,0.10003312,0.002462301,0.333333333,0
not,376985172,0.832678729,0.140465603,0.122813305,0.003561563,0.333333333,0
not,406345385,0.412919241,0.526811405,0.329318742,0.06578124,0.333333333,0
not,350862394,0.499657988,0.684802511,0.496650711,0.207941933,0,0
not,220478522,0.497098411,0.75250327,0.607221523,0.354675197,0.333333333,0
not,272322827,0.261815975,0.87318598,0.650658736,0.547122411,0.666666667,0.041195146
not,20325431,0.363656222,0.190426367,0.229999617,0.010772925,0.333333333,0
not,278199738,0.921226831,0.003138896,0.002646102,2.61e-05,0.333333333,0
toi,231728511,0.711473963,0.172116139,0.191275881,0.008724402,0.333333333,0
not,200363066,0.55934466,0.174993461,0.306309855,0.0156594,0.333333333,0
not,41533357,0.113128861,0.833539105,0.828376395,0.762794642,0.333333333,0
not,260159741,0.493932039,0.763301072,0.771542723,0.558650438,0.333333333,0
toi,458478250,0.520656443,0.806173162,0.584597524,0.438547664,0.333333333,0
not,150428135,0.646778464,0.177347633,0.205811663,0.008617832,0.333333333,0
toi,271596225,0.735503089,0.206905572,0.243634538,0.014531964,0.333333333,0
not,349965094,0.378706973,0.794140727,0.910555472,0.818415574,0.333333333,0
toi,260476837,0.854368932,0.52262621,0.474042052,0.135573325,0.333333333,0
not,319470216,0.451323919,0.542479728,0.616667306,0.198218688,0,0
not,176933645,0.726279788,0.208998169,0.258062942,0.013915194,0.333333333,0
not,389020089,0.270189762,0.66749673,0.477845606,0.185401855,0.666666667,0.081128264
not,364425576,0.4510812,0.888569187,0.695318247,0.639327688,0.333333333,0
not,66437824,0.205637688,0.691085535,0.50920209,0.220869766,0.333333333,0
not,201287746,0.516205869,0.147789694,0.141655365,0.004449975,0.333333333,0
not,219228930,0.671822595,0.126602145,0.169679644,0.005138701,0.666666667,0.035103666
not,101011575,0.391074581,0.491498823,0.352819894,0.065551664,0.333333333,0
not,279429722,0.57309135,0.522241695,0.424312763,0.097988874,0.333333333,0
not,277533870,0.321612974,0.429244049,0.429630069,0.073511799,0.333333333,0
not,238192896,0.561838041,0.440230186,0.432570415,0.077210769,0.333333333,0
not,382265694,0.531608561,0.865812189,0.541799001,0.390166216,0.333333333,0
not,260269838,0.408925419,0.826366728,0.953597339,0.968056416,0.333333333,0
toi,271596225,0.735503089,0.206905572,0.243634538,0.014531964,0.333333333,0
not,348898884,0.605450132,0.635888046,0.468998072,0.163960028,0.333333333,0
not,287488930,0.505227273,0.166099922,0.189670789,0.007271178,0.666666667,0.068526147
not,140894185,0.446491615,0.547475804,0.458035051,0.120626313,0.333333333,0
not,370137704,0.294296117,0.6990531,0.560900442,0.266800033,0.666666667,0.05662365
not,140581031,0.564651368,0.677177609,0.513366825,0.215359194,0.333333333,0
not,88481300,0.179181377,0.772445723,0.583172324,0.348574775,0.333333333,0
toi,260271203,0.92956752,0.88150667,0.803386592,0.933381232,0.333333333,0
not,183799419,0.302416152,0.770782108,0.544931791,0.308507777,1,0.042055532
toi,178284730,0.58027361,0.662307089,0.502092826,0.227901552,0,0
not,439410069,0.199911739,0.684279362,0.510195686,0.217406054,0.333333333,0
toi,37749396,0.380770079,0.32252158,0.344368404,0.039860999,0.333333333,0
not,100103200,0.40223632,0.270468219,0.273910967,0.019721069,0.333333333,0
toi,380589029,0.798466461,0.881245095,0.713509763,0.753841634,0.333333333,0
not,358176584,0.682171227,0.223384776,0.28133609,0.016914716,0,0
not,350655701,0.919119594,0.119016479,0.080785254,0.001921329,0,0
not,123269276,0.519792586,0.235155637,0.254987327,0.015276016,0.333333333,0
toi,160148385,0.757259488,0.717760921,0.691866809,0.465891913,0.333333333,0
toi,307610438,0.415048544,0.782631441,0.711550462,0.583233381,0.333333333,0
toi,259701242,0.351632833,0.831545906,0.585076542,0.468808309,0.333333333,0
not,237924298,0.422528685,0.65954486,0.454603137,0.166586887,0.666666667,0.121325523
not,372914091,0,0.825286424,0.653350161,0.488368492,0.333333333,0
not,31675050,0.514860989,0.560816113,0.450923695,0.122461402,0.333333333,0
not,273854802,0.380659753,0.82448339,0.581462643,0.397212595,0.333333333,0
not,293936969,0.356542365,0.913680356,0.718739214,0.721149027,0.333333333,0
toi,100608026,0.643832745,0.308658122,0.345223943,0.037949026,0.666666667,0.06204638
not,38570936,0.583517211,0.656829715,0.497928092,0.192867986,0.333333333,0
not,167892002,0.54788173,0.324352603,0.361535646,0.037834392,0.333333333,0
not,167123841,0.555770079,0.735074549,0.59492813,0.326449903,0.333333333,0
not,55758201,0.57798985,0.266544598,0.32144807,0.024959142,0.333333333,0
not,37300889,0.338989409,0.5932226,0.442350882,0.13090948,0.333333333,0
not,382257922,0.649547661,0.210306042,0.213229116,0.01051005,0.333333333,0
not,178351350,0.377173433,0.39576249,0.383365465,0.054136909,0,0
not,425864448,0.344549868,0.595349202,0.45896938,0.140179635,0.666666667,0.107059222
not,177307808,0.585834069,0.396259482,0.305646761,0.037679826,0.333333333,0
not,170867837,0.406674757,0.487052053,0.314032708,0.053646314,0.333333333,0
not,1252178,0.240191968,0.775937745,0.638331178,0.412199409,0,0
toi,264979636,0.562157988,0.80434214,0.632878604,0.501562489,0.666666667,0.032721383
toi,369327947,0.56299647,0.129741041,0.113801218,0.003559969,0.333333333,0
not,60178082,0.444616064,0.250588543,0.363388963,0.028513851,0.666666667,0.126355692
not,279356932,0.635458959,0.353125817,0.385462127,0.046802993,0.333333333,0
not,333606239,0.144097529,0.746010986,0.528354431,0.273728593,0.333333333,0
not,55663264,0.310900265,0.958932775,0.652046284,0.675961281,0.333333333,0
not,220423218,0.876003972,0.108291917,0.055268323,0.001207239,0.333333333,0
toi,394698182,0.763614298,0.825791263,0.764584067,0.742048539,0,0
not,207241048,0.691262136,0.17996338,0.143116125,0.005255573,0.333333333,0
toi,30122649,0.553629744,0.611561601,0.494296761,0.191364044,0.333333333,0
toi,383390264,0.40934466,0.940884122,0.712275613,0.868661993,0.333333333,0
toi,201248411,0.53538173,0.436829715,0.446327357,0.09226964,0,0
toi,154089169,0.574481465,0.591420351,0.442317414,0.149309016,0.333333333,0
not,149422364,0.554225508,0.538582265,0.451236068,0.114391404,0.333333333,0
not,141544861,0.433914387,0.858488098,0.659039803,0.53947368,0.333333333,0
not,207148580,0.789883054,0.08945854,0.06683029,0.00131301,0.333333333,0
not,422382572,0.478720212,0.15877583,0.172246258,0.006128528,0.333333333,0
not,269634384,0.625970874,0.125294272,0.088462785,0.002205836,0.333333333,0
not,349096321,0.66092233,0.464556631,0.350628406,0.05935767,0.666666667,1
not,261156988,0.606906443,0.278053884,0.346453212,0.029483258,0.666666667,0.219829133
toi,72985822,0.793457635,0.857985875,0.768342299,0.812284288,0.333333333,0
toi,44647437,0.870531774,0.320167408,0.382479945,0.046861039,0.333333333,0
not,55780996,0.515070609,0.724823437,0.602800894,0.324823175,0.333333333,0
toi,178819686,0.494229921,0.707559508,0.545589307,0.298616027,0.333333333,0
not,45464138,0.614276258,0.22861627,0.244010361,0.013899548,0.333333333,0
not,388182039,0.586595322,0.400993984,0.437420556,0.068646009,0.333333333,0
not,358049328,0.248521624,0.910643474,0.739120127,0.752547085,0.333333333,0
toi,89256802,0.959090909,0.103583573,0.270952492,0.010624585,0.333333333,0
toi,229811538,0.798609885,0.898770599,0.712819476,0.785697365,0.666666667,0.2131164
not,31799716,0.547109444,0.957964949,0.398423495,0.290628159,0.333333333,0
not,150389853,0.436860106,0.825791263,0.760344725,0.640729387,0.333333333,0
not,373983838,0.436760812,0.988752289,0.778592023,0.994529585,0.333333333,0
not,49644110,0.211893204,0.55898509,0.42921241,0.112106256,0.333333333,0
not,201882747,0.48417917,0.440230186,0.405488134,0.069332842,0.666666667,0.586178082
not,272544968,0.636010591,0.3057808,0.276883387,0.023066167,0.333333333,0
toi,200593988,0.80087158,0.205336123,0.238718854,0.013997083,0.666666667,0.010123274
not,453833488,0.458735658,0.233847764,0.234933429,0.013423159,0.333333333,0
toi,306996324,0.5172297,0.243526027,0.284997403,0.021584325,0,0
not,149302552,0.538382613,0.625163484,0.543618152,0.204519136,0,0
not,328324098,0.284256399,0.314412765,0.392837744,0.041737555,0.333333333,0
not,375063320,0.261154016,0.895108553,0.850507431,0.93329428,0.333333333,0
not,234507537,0.550739188,0.18781062,0.184299097,0.007707523,0.333333333,0
not,7723060,0.681067961,0.100183102,0.06704156,0.001404886,0.333333333,0
toi,161477033,0.553133274,0.646089459,0.526565262,0.235985919,0.333333333,0
not,234299476,0.439971315,0.488883076,0.407496244,0.082257265,0.666666667,0.111297973
not,55522986,0.5510812,0.736071148,0.602374868,0.334535433,0.666666667,0.087896637
not,453101363,0.566835834,0.764582788,0.585150451,0.343380154,0.666666667,0.135385531
toi,339961200,0.516935128,0.657598744,0.528903175,0.24581925,0,0
not,306829151,0.463184025,0.82893016,0.671743882,0.517770076,0.333333333,0
