class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
not,279091327,0.574074674798067,0.508758943992105,0.307553858583303,0.0876867125473843,0.333333333333333,0.473288133294051,0.458297285843979,0,0,0.407856241522695,0.324626865671642,0.704442228844286
toi,415969908,0.700522269439128,0.165062916358253,0.13994864997743,0.00823187808764897,0.333333333333333,0.0640372841289224,0.210777715903918,0.996667233549963,0,0.156579796200372,0.145183175033921,0.375741920893046
not,382101861,0.540175819898141,0.563039723661485,0.408563320673128,0.166375369336489,0.333333333333333,0.373103134625129,0.449810841362541,0.998405370634535,0.23001891446202,0.509723913854694,0.399253731343284,0.826290614146942
not,300290097,0.466095738584142,0.657290895632865,0.535388675968707,0.351716654078144,0.333333333333333,0.31174571579405,0.11807949308389,0.99672692565803,0.0103079919018188,0.329132868153927,0.528833107191316,0.99600360702807
toi,181804752,0.944388577113137,0.0123365408339502,0.0198586005537522,0.000390704068620038,0.333333333333333,0.404212584854456,0,0,0,0,0.355156037991859,0.134927461838348
not,259701242,0.368908208172489,0.763878608438194,0.475259697132622,0.386061511941013,0.333333333333333,0.393941114978284,0.0864348243352377,0.997642459091513,0.332608705460783,0.254025252026216,0.675373134328358,1.01944778429768
not,358510446,0.472291605843362,0.774488033555391,0.509201889542824,0.447494364596745,0.333333333333333,0.0671617063197498,0.113288094818256,0.997659132404311,0.00220560379031294,0.308638784973199,0.689959294436906,1.05774537427353
not,149422087,0.452557822687903,0.686898593634345,0.611424661236483,0.48394686168458,0.333333333333333,0.384556061733127,0.15799476433814,0,0,0.427858711819646,0.569538670284939,1.07863819513636
toi,455096220,0.765173386965971,0.809030347890451,0.701433832937043,0.990718282839552,0.333333333333333,0.60891817529325,0,0,0,0,0.737449118046133,1.29007365841371
not,267320484,0.66874276878494,0.0893165556377992,0.101939282767266,0.00316758852504305,0.333333333333333,0.301214438783017,0.405341719548922,0,0,0.179393687548874,0.24932157394844,0.256449961045076
not,300809119,0.462657194450752,0.742166296570442,0.529494636424014,0.438684504203082,0.333333333333333,0,0.173574329951223,0.998082326850335,0.43245908936376,0.395219520324258,0.645522388059702,1.05250559440708
not,262818224,0.267503595333095,0.639437453737972,0.397534853899698,0.20055490812942,0.333333333333333,0.380754322792029,0.206732364865228,0.996621580313289,0.0371842274151223,0.337739708269133,0.504287652645862,0.865707301013985
toi,262530407,0.504909116467166,0.182580804342462,0.219023084509026,0.0169469823853927,0.333333333333333,0.468114783428995,0.177006818735223,0.996619977700711,0.00784053663798583,0.195377401734397,0.121099050203528,0.469438492546313
not,193032655,0.158854251143478,0.675055514433753,0.436840909809694,0.26086344797618,0.333333333333333,0.15970776255687,0.0837529894874699,0.985010236169664,0.293473387197223,0.232711967368131,0.55325644504749,0.924404905407652
toi,22221375,0.274672635460257,0.750409573155687,0.515854966375223,0.491682664119532,0.333333333333333,0.0605543666748316,0,0,0,0,0.656855495251018,1.08291926514269
not,122574949,0.305576280533299,0.648223538119911,0.448477181441538,0.252302997521363,0.333333333333333,0.325690178458603,0,0,0,0,0.516367028493894,0.916738795393122
not,425086652,0.566938073766503,0.780656303972366,0.454914622680839,0.374743238819503,0.333333333333333,0.446306847958168,0.681702278180666,0.99831348675621,0.268313475754467,0.687195002322498,0.698439620081411,1.01190086362668
not,279675336,0.478703733739903,0.577350111028867,0.383396059331415,0.15642115745871,0.333333333333333,0.41794428595908,0.350878195142258,0.997233669677454,0.00882397494367251,0.426940822103982,0.418928086838535,0.813677450327943
toi,458589703,0.692196234902304,0.433071798667654,0.336054558680195,0.0898103175867718,0.333333333333333,0.298252197516815,0,0,0,0,0.220569877883311,0.708648610491911
