class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity
1,209459275,10.5704,5972,1.20876,1.91975283
0,141024724,10.2862,4572,0.756092,0.225045
0,201792346,12.3329,2967,0.160214,0.00179211
0,279053000,8.0268,7563,1.59801,7.52712
1,343648136,10.4613,6093,1.40011,2.790840314
0,231286084,8.06,5707,0.907976,0.787907
1,133654092,10.4527,3877,152.478,5426.046834
1,80432617,12.3409,5573,1.85248,3.419394338
0,382572066,9.1421,6008,1.36041,2.17249
0,313936437,8.5885,4989.26,0.685814,0.262574
0,170636897,11.0692,3118,0.230215,0.00451301
1,389924075,10.4016,5909.57,1.16972,1.72374618
0,149347296,9.4916,5857,1.16465,1.43808
0,349945315,9.5485,4635.5,0.74621,0.231634
0,177308913,10.606,3452,0.417173,0.0222644
1,120896927,8.3157,5175.2,0.841842,0.525116532
1,73649615,12.5554,3533,0.507628,0.041471682
0,306735869,6.3728,5142.71,0.802797,0.406138
1,259377017,10.4981,3532,0.374358,0.022529055
0,13060575,9.217,3565,0.425124,0.0263005
0,183532804,10.2145,3283,0.338724,0.012008
0,220433364,9.42788,3268,0.351215,0.0126756
1,35009898,12.2255,3424,0.427953,0.026002382
1,101929303,10.3075,7550,2.0466,14.05852334
1,235037761,9.8567,4174,0.903104,0.255723872
0,55663264,7.8658,6482,1.05944,1.78518
1,44797824,9.7976,5446,1.19844,1.305055857
0,153027837,6.1912,5876.08,0.977251,1.02579
0,413248763,8.74094,3490,0.360144,0.017336
0,123366965,9.84507,3406,0.237209,0.00682238
0,382627751,9.6852,5604.57,1.00931,0.905549
0,348898884,10.5356,5247,0.796915,0.433674
1,34077285,9.2563,4935,0.816999,0.408956992
0,179583882,9.4798,5463.55,0.847925,0.577178
0,255563650,10.6068,3428,0.381876,0.0181427
1,5868998,13.9372,3644,0.783601,0.111838001
0,178351350,8.4665,4329,0.674102,0.143779
0,382624566,9.433,5204,0.901578,0.537095
1,184240683,11.5464,5735.75,1.0941,1.338322722
0,220411010,9.1665,6043,1.2412,1.85092
0,267537284,7.4111,6385.91,1.20502,2.17558
0,220459909,9.1253,5399,0.808812,0.500775
0,388182039,10.3647,4349,0.751627,0.182078
0,349273158,8.0468,5758,1.50079,2.23059
1,238197638,11.7874,6146.6,2.2099,7.200638539
0,150187916,7.7957,6178.6,1.5321,3.08198
0,150431839,8.4221,6457,1.29848,2.64053
1,398943781,10.7875,5546,0.880069,0.756900632
0,391893148,9.5211,5659.18,1.03982,0.999146
0,201882747,9.4364,4499,0.70583,0.183891
0,38707482,10.5508,4599,0.784068,0.247774
0,140691843,10.468,5123.4,0.823102,0.420567
1,143350972,7.6818,5771.46,1.01482,1.180338997
0,350144504,7.9871,7016,1.85602,7.51997
0,404452683,9.44367,3444,0.433047,0.0237694
1,423670610,11.3488,5993,1.25056,2.083877271
0,389368692,7.0108,6217,1.99106,5.33565
0,238872406,9.3323,4981,0.78252,0.339587
0,260191777,9.4676,5603,0.950003,0.801359
1,100100827,8.8287,6226,1.34658,2.814405983
0,141899106,8.94872,3951,0.646461,0.0917503
0,439411675,8.7571,4666,0.620803,0.164582
1,388106759,10.5173,5704.59,1.40065,2.14606542
0,25132754,10.3003,5939,0.899646,0.907176
0,123480394,10.5811,3012,0.190622,0.00269439
0,280046713,8.0851,6101,0.997559,1.24216
1,167342439,10.0906,5409.22,1.02101,0.921901522
0,197602069,9.0985,4006,0.564062,0.073823
0,300708192,9.2321,6198,1.15323,1.76819
0,101955023,10.8372,3261,0.226407,0.00522249
0,302444623,11.7993,3250,0.200967,0.00405955
1,276128561,10.5623,5250,0.948885,0.706562097
0,350434027,10.0966,5942,0.884581,0.878821
0,306512813,7.8297,5803.43,1.39715,1.9949
0,406345385,8.7905,4830,0.596589,0.174516
0,36879392,8.21419,3646,0.524824,0.0438519
0,56665956,9.78558,3406,0.395902,0.0190042
0,146663593,9.52044,3454,0.4716,0.0285188
0,156918868,8.842,4043,0.704823,0.119583
1,93594834,10.3138,5322,1.96337,3.194403277
1,259701242,8.235,5995,0.963393,1.238367891
0,7151484,9.87974,3403,0.438721,0.0232552
0,220423218,12.9879,3230,0.20355,0.004063
1,164767175,9.45661,5784,0.918917,0.976228921
1,254113311,10.1429,4236,0.741921,0.183073335
0,38583375,7.5982,6441.44,1.25657,2.44906
1,43647325,10.4408,6072,1.09774,1.692045319
0,422382572,9.38692,3423,0.371318,0.0170535
0,200363066,10.1177,3485,0.56359,0.0422117
0,349645035,13.2698,3202,0.19169,0.00348
0,200748029,7.7261,5287.04,0.798962,0.449363
1,33690636,11.0427,4462,0.932128,0.355758538
1,238898571,9.954701,5655,0.850302,0.763770356
1,460984940,8.7537,5464,0.896313,0.739687218
1,65412605,9.50712,8489,2.32026,28.87921612
1,369864738,9.5162,6819,2.20928,10.901098
0,141914082,8.5581,4260,1.0451,0.324075
0,374996363,9.267,6420,1.28615,2.53173
0,370039100,9.4483,6812,1.25362,3.04878
0,300515700,8.9797,6483,1.37083,2.99067
0,270559112,9.3405,4559,0.748904,0.218286
0,25153007,8.8967,7109,1.51765,5.29997
1,288185138,10.402,6105,1.24389,2.220202494
0,258322219,7.3802,4610.95,0.725961,0.214626
0,279245231,9.1129,6092,1.27099,2.00456
0,164752884,7.4971,5276,0.812086,0.460382
1,49771092,14.8067,5088,0.942522,0.614974861
0,391892842,8.0914,7241,1.82507,8.2499
0,350655910,12.5772,3455,0.330525,0.0140248
0,49934962,6.9845,4432.68,0.753695,0.197584
0,300291282,9.5541,6639,1.13787,2.26616
0,177284199,8.2481,5433,1.23991,1.20679
0,219150432,12.3188,3339,0.279435,0.00874424
0,140940493,10.2112,5516.25,0.820647,0.561802
0,177349900,7.9833,6037,1.61337,3.11491
1,453211454,7.9259,5560.26,0.962324,0.914342683
0,41230546,10.0834,4987,0.757607,0.319846
0,374909017,10.6056,5023,0.710202,0.289275
0,33949151,7.9565,5348.35,0.773555,0.44112
0,349518888,12.564,3302,0.307978,0.0101588
0,377018326,9.1796,4664,0.906501,0.35032
0,389214310,8.1242,5089.38,0.700681,0.296753
0,257720478,8.8919,5909.88,0.83644,0.768916
0,260795157,7.7286,4745.18,0.618071,0.174495
0,267083739,7.4763,5169.35,0.813615,0.425869
1,257567854,11.185,6153,1.19109,2.100500443
1,42015200,11.6818,4513,2.86583,3.519233991
0,237920279,8.184,5709,0.859954,0.707759
0,302411994,9.40039,3825,0.526074,0.0533721
1,261257684,10.846,3751,0.532439,0.05797142
0,389790856,10.2489,4880.26,0.680989,0.236999
0,150389853,9.0075,5973,1.21476,1.69218
0,294874367,9.7898,5597.22,0.946111,0.791532
0,142146835,8.4793,6345,1.62746,3.86761
1,447283466,7.9059,4634,0.684487,0.223172401
0,177022232,8.3789,6158,1.18072,1.80613
1,300871545,10.0433,6674,1.44956,4.306288898
1,120585579,12.5766,6190,1.12642,1.924195799
0,142105613,9.9839,5725.73,0.781818,0.591874
0,261262184,10.3058,4063,0.68452,0.115041
