class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,ImpactParam,Limb1,Limb2,CurveFit
1,311183180,9.1073,5055.34,0.693406,0.324386394,2,1.10573893163687,1317.81184926888,0.241767907692478,0.0861069527986084,2.74795788789979,0.0100595208057348,0.499917824721706,0.249945157800539,0.577599394242531
0,300136653,8.1505,6087,1.26855,1.99031,1,0.0248697860380971,97.2478493289025,0.0254599271134874,0.0248421091736048,1.36566244266416,0.01,0,0,-149.999510307485
0,349054977,12.0807,3632,0.410017,0.0263561,1,0.033526524847762,1095.42278443199,0.0335104311794462,1.22979804197355e-05,1.48145519811211,0.01,0,0,-186.834947372019
0,167201200,9.1265,5908,1.06366,1.24184,1,0.0622427350478156,159.101223532935,0.0621627891895886,0.0012441749871621,1.46465507505023,0.01,0,0,-86.1218600893334
0,142017826,9.381,5983.29,1.17092,1.58309,1,0.0616249226109815,87.2845808291455,0.0654132598176514,0.0615768174418929,1.19424041119761,0.01,0,0,-43.6239686003034
0,142087340,9.2848,5263.18,1.03763,0.744345,1,714.109597741472,224.08833053944,2174.44270624003,3.03608623352336,1.69569567983966,0.01,0,0,-25.3013975542135
0,220391375,8.0163,6183.83,1.0224,1.37711,1,0.0226129122109392,179.335489974955,0.0228836812405463,0.0125396315029639,1.49468520668707,0.01,0,0,-491.50709715524
0,220433363,8.7057,3410,0.427535,0.0222667,1,0.142557694363482,448.454964246036,0.142544712230779,0.000343458321810824,0.988386637604234,0.01,0,0,-12.291388122843
0,333680372,9.3168,3439,0.473917,0.0283027,1,0.0786229525412489,2726.73646785848,0.0801258919033053,0.0223551426250212,2.70159127148127,0.01,0,0,-163.719357084163
0,293936969,8.2795,6309,1.15509,1.90446,1,0.0582553835551507,70.4102804097265,0.0582387524719136,1.16922441787118e-05,1.05810711458447,0.01,0,0,-54.8413936497397
0,167889542,6.881,6500.82,1.37245,3.03082,1,0.0156151267101323,21.3651128466895,0.0155992553355974,0.000125585101016922,0.692540060580253,0.01,0,0,-37.6126648052227
1,183537452,10.2499,5203,0.635603,0.30582511,3,3.91383031928197,3745.13440769845,0.470404896916177,0.116818390977074,4.24634636983011,0.0123619735837548,0.476131262949435,0.233466169911621,0.00597796162759567
0,265373654,8.35839,3923,0.650802,0.0903786,1,0.0604537013578485,0,0,0,0,0,0,0,0
0,130297237,9.5304,5280,0.709791,0.35277,1,0.06010765456284,203.022335827443,3.73762705243096e-05,3.5257051831894e-05,1.1040739724693,0.01,0.5,0.25,-0.115785463675827
0,255564289,8.6783,5529,0.900479,0.682698,1,0.0586475914478969,116.558496425239,0.000136897198992388,0.00012931328621374,1.06130773860404,0.01,0.5,0.25,-0.142469368796372
0,167600516,10.6925,4316.7,0.651075,0.132606,1,0.0231380471269131,143.491738039523,0.0236674755644968,0.0231296729818845,0.85141292970817,0.01,0,0,-33.2902631948917
0,294927550,12.8149,3353,0.310175,0.0109558,1,0.0327699166712287,1210.98760324149,0.0338300159250427,0.0327565853526039,1.17834486374455,0.01,0,0,-59.7426622462431
