TICID,Period
314828080,0.06870399247378958 d
63898957,0.03160492431933961 d
176984236,0.09755545505618889 d
89020549,0.049954365383976074 d
38846515,1.4253676440694842 d
262710157,0.038566908419917015 d
25116423,0.03577701298208234 d
360742636,0.8486586150511289 d
214664574,1.2176455873230123 d
45464138,0.03532489092398678 d
287488930,0.05776719941621753 d
220476607,0.0672965953367379 d
243200602,2.331540542658393 d
290543478,0.05407154123410932 d
375034557,328.2407074868079 d
273854802,0.03417179672695534 d
460205581,0.08852661227522987 d
441493794,0.058132060053813175 d
278959348,0.05594726254291467 d
92251004,0.0644952217583611 d
231925611,0.061390731583891224 d
218795833,0.09038209925459521 d
304042899,2.0444560357680803 d
140830390,0.06593256264320026 d
188989177,0.09785196284355063 d
55652896,2.3035781297552633 d
399144800,0.023133487605215497 d
260159741,0.017474696815003823 d
455135327,0.5620260865579878 d
38759628,0.06902272715566123 d
260266504,142.82187693814112 d
344173871,0.0186215038731038 d
150065945,0.014186919237488695 d
232025086,0.05583787179584253 d
220408612,0.06571354429599684 d
219228930,0.06857755747284716 d
31799975,0.06117091094756451 d
139770629,0.058192026228194506 d
150029272,0.062248027123276185 d
375092128,0.033920973024081896 d
406941612,0.0673630127337921 d
306470049,0.035580953647656545 d
410253727,0.07637535206164613 d
287298969,0.019138902855665982 d
200723869,0.06941634770198161 d
150428135,0.07329462108720315 d
391927456,0.02853813096415327 d
388128620,0.029693927891967693 d
260982587,0.06029293369295537 d
281982207,0.06135435309181536 d
259886044,0.05273212170665738 d
306824150,0.07076699777198256 d
279160979,0.022259577202514765 d
290754629,0.017602835802029298 d
167796443,0.06544858756575118 d
260300455,0.01837190443420592 d
349055189,0.09680216565284529 d
407126408,0.03354375809430465 d
150440176,0.01613660817573911 d
38635641,0.014225282292231477 d
167696090,0.06049212478339129 d
382626661,0.018558946081527705 d
219144853,0.02044222525994269 d
343813545,17.284042100568517 d
157324520,0.03621199211814582 d
176933645,0.01600927092923462 d
13985155,0.01887786523635963 d
100608026,0.016665639782694867 d
279425357,0.06447717845707683 d
38815302,0.05064762200022754 d
278409390,0.1256810277871177 d
140898575,0.03377042985934629 d
220436223,3.798452805666405 d
300559291,0.4897871637259979 d
176872276,0.0341238400123395 d
260046328,0.03226154495660118 d
61538902,0.9596400574544252 d
38954437,0.06702732666672542 d
118327550,0.055572588929491566 d
167719689,0.07143953156015201 d
396742365,0.060366361658901226 d
220422429,0.06807116139291712 d
375175035,0.06020423700509915 d
373983838,0.02165481422046995 d
178819686,0.061724319634705906 d
231815113,0.0684525149638479 d
300037819,0.08326087088953266 d
380783252,0.04096458553099031 d
141912469,0.034760005914811945 d
300037209,0.03152668784475118 d
169304011,0.06773025852355116 d
150359500,4.667381870279251 d
336732616,1.1855328189656844 d
157133425,0.07299021724287712 d
290777240,0.06448327828904885 d
278198742,0.06467213381857136 d
89256802,0.0618758159451449 d
370114320,0.0645873773988833 d
177285682,0.06057423435125094 d
278866211,0.11547694695134701 d
454281030,0.0357532054211378 d
235066737,0.06769631082704185 d
31374837,0.07000212313541863 d
38469800,0.061838338267899154 d
70513361,0.05984975451048251 d
294873759,0.02991409457151848 d
369327947,0.07803413756132264 d
279314081,0.01977601510697189 d
141545616,0.056074561304952766 d
178284730,2.223406494895272 d
55558734,238.03640394573614 d
123269276,0.034719840895857744 d
167526213,9.51422388626973 d
389365531,0.05673388571240883 d
38584697,0.05334858275495426 d
300013921,0.06312850273335227 d
380886535,0.49417831075997914 d
220571983,0.03773779990613308 d
260370233,0.07061300820786148 d
309792357,3.8393043566352625 d
204376737,3.4245989262940952 d
