TICID,Period
238086647,0.05890707494542955 d
234991587,0.05911847749373144 d
160116798,0.024167166740083536 d
370113676,21.639717315441928 d
349194688,0.01655330592891504 d
141121236,0.016865192978868848 d
31871195,71.41091818207045 d
302002907,0.059412604525101956 d
140938247,0.04764859291975765 d
118608254,0.059649217033677 d
270415707,0.04375469554465608 d
200781244,0.022263126417690574 d
264979636,0.05905257417041599 d
341337808,0.016170750690036206 d
166788138,0.05971031808334045 d
300449121,357.05483716118806 d
272002097,0.059156585347635855 d
358290716,597.5461801722131 d
126584063,0.056943344154894396 d
38515255,0.015202420803415738 d
167415800,0.0654425922453021 d
49772010,0.05595385368278198 d
392011927,0.07216872837828771 d
410450228,0.017836204570395798 d
279741379,223.0731256113022 d
142082642,0.05804825022928524 d
388107335,0.0640341918423948 d
348844154,0.06827836496567205 d
316781121,0.07006869261142623 d
277298771,0.5270180229539636 d
271795905,0.05762201934325881 d
257659158,0.020501287114139736 d
149988104,0.0720013467207111 d
41031598,0.0669833501459377 d
55525572,0.05617690098835581 d
73723286,4.840171804485362 d
29832209,0.03401168314217781 d
381978657,0.023053740597783375 d
446764926,0.06896429415759628 d
219144928,0.05417582398925447 d
166841803,0.023739995145268568 d
101101072,0.0211401703506201 d
255685030,4.72289058434578 d
271642710,0.02196584684661221 d
141096635,0.05425539363407549 d
141805493,0.07128264584739473 d
350654290,178.52732488855668 d
328426362,0.023994447142531513 d
307610438,0.11155872340519016 d
36892736,0.07588443391498047 d
307290964,1.351927855498159 d
299798795,0.6051787061256818 d
211438925,0.9784791837529384 d
382525982,0.05707708676940608 d
204317710,0.0630534711456412 d
355276484,0.03466845024060047 d
439410069,0.06890829918823059 d
350522060,0.05926217749611519 d
259540794,0.06555503396788659 d
32497972,0.031128388155201792 d
350618622,8.816163420634181 d
124403080,0.03287858717159924 d
167415965,0.05696470724804465 d
231728497,0.01776147100466451 d
32499655,0.07838351125379947 d
382198917,0.021497053030369317 d
219380615,0.06164090692445661 d
140691463,0.11580731689312816 d
389663914,0.07486048002900943 d
287588319,0.07892519302580571 d
413248763,0.06135893818602815 d
307715447,0.061788062817165354 d
376985172,0.023058316961948797 d
141029712,0.03177241411071026 d
272188493,6.375979720301839 d
380024477,0.01446817736986447 d
207144018,0.05767873947579669 d
273418879,0.04402113282734802 d
452866790,0.030617428028651143 d
36352297,0.05804334684480455 d
89148220,0.06071636279271849 d
81483251,0.024374552297946342 d
307210830,0.08387873495947211 d
149420149,655.1786054665449 d
149348488,0.014241199131891277 d
220478522,0.06059428161336157 d
220017951,0.06717880596046091 d
229047482,0.014762523214621634 d
358174909,0.06763681303420116 d
154089169,0.06216115327894702 d
238949177,0.06300053918538773 d
30122649,0.02095939015745825 d
454012528,0.06026687485207704 d
220536759,0.056565600648501926 d
257719099,0.054058328314365016 d
425997655,0.06856995209960541 d
287353701,0.0665777394225307 d
177236218,0.0630450233474939 d
9725627,0.053198924601487375 d
167698166,0.014553170503675432 d
307210830,0.08387873495947211 d
176521059,0.01773894674099141 d
38698692,0.06303373369110386 d
166836920,2.8941371065612724 d
391925508,0.03302247679672039 d
52687259,0.07030624020758763 d
143980902,0.022371023403826823 d
248092710,0.06457399934317333 d
231074610,0.02988154803714903 d
349374765,0.06628697900008416 d
220422671,0.014853791765464103 d
150100106,0.0822647503497633 d
300242735,0.06277887119186785 d
197889083,0.34441880091798915 d
167485954,0.015283880184899998 d
237915132,0.05221437023850168 d
144155897,0.06877083937587533 d
142082942,0.05827098869845452 d
150139182,0.0609262010844342 d
349568905,0.06269619256827327 d
278992816,0.0668326884436483 d
141157180,0.01614828500518257 d
366989877,0.05509742954753159 d
271168962,1.7724921897960046 d
167756732,0.06816809134083499 d
279088395,51.007919092182945 d
350744678,0.022245701401889324 d
334415465,0.06333696665707571 d
260267208,714.1093645005135 d
375273873,0.2667866094314014 d
104024556,1.0131971916297682 d
372914091,369.54726785664616 d
22870872,0.017435131375532698 d
31870141,0.03138809331422478 d
55780996,0.02827931186328322 d
272322827,5.289701833428084 d
25132720,0.07690999246286095 d
31799716,0.07829286673626122 d
166972537,0.02903710435691796 d
271642286,0.05151934772125027 d
260130483,0.015822444184206686 d
260351252,0.023358281700164397 d
358106285,0.018065031795882935 d
29781292,0.031480807557280784 d
100940603,0.05408341281867966 d
270380593,0.059872121250936855 d
231017428,0.19048118183974516 d
128902569,0.014687990581946923 d
92226327,0.016903422864108925 d
198076363,0.02145748105146522 d
140687446,0.029692700934374306 d
220453880,0.021318599924567447 d
117768715,0.07406336167443862 d
238870740,0.07049449706903599 d
78055054,0.6270643318133813 d
149935360,0.06064623099991352 d
382145732,0.05886658500060886 d
260371854,0.07147526420609111 d
407661867,0.01560963243179295 d
152965017,0.0655277487973519 d
55522986,0.058939349408119235 d
304217972,0.029725286263533515 d
308841571,0.05648002600634052 d
232028066,0.07377790697769855 d
231064564,0.06411894022211624 d
262577790,0.031810374595506195 d
150249155,0.06906280579788636 d
47911178,3.6276880046950355 d
425940518,0.058281261017211566 d
280206394,1.247161991189666 d
299942685,0.05838350809339866 d
238034112,0.062422882569484216 d
167814656,178.5273877536756 d
299832383,0.07654725722348006 d
177351052,0.023989170702819754 d
55450951,0.0656410663399478 d
219244444,0.1519224325186696 d
77156672,0.0204540610273255 d
350820908,0.07169052050198275 d
348957793,0.07234419817204489 d
111267568,0.05542989008956791 d
76923707,4.566121150341018 d
319470216,0.07726262475937899 d
425864448,0.05773771055838227 d
38459760,0.015687498053482837 d
62483237,0.057711506866786014 d
52121796,0.017137907308571284 d
220022156,0.06093217996241032 d
238186581,0.06067199467803231 d
269076634,0.014057752561026565 d
233087860,0.059559302116112135 d
230088370,1.000913658402952 d
79054590,0.028884687609906617 d
388205695,542.8996985972694 d
356838394,0.13091205021977273 d
172464366,0.7298841427092185 d
220424856,0.06424733451165694 d
365779699,0.031249794062395506 d
260355230,0.07884805871981011 d
192826603,0.06967398077768153 d
220457593,0.06464866470604083 d
340637365,73.90933867823024 d
340007359,0.06743245012683709 d
150359260,102.01563185841573 d
20210161,0.06433495014959216 d
257526400,0.03576132403786311 d
12862099,0.11543341897458832 d
167813804,0.06763681989153204 d
294093302,0.06738657249021915 d
277103955,0.07417006417911402 d
364540782,0.01716341154543092 d
73305532,0.016470805378636877 d
141544861,0.033646322954557314 d
279615427,0.09191782124946511 d
408159788,0.019973795933238433 d
151825527,0.10686962838408136 d
52368076,0.0567802260171684 d
167721744,0.03193692046930176 d
150247721,0.060878892911330564 d
66409287,0.058130927559682695 d
219152539,0.07137846954442109 d
300443382,0.0641954043223374 d
55758201,0.03218158083931288 d
53735810,4.0242125003651 d
220389296,0.07434764141525071 d
294779080,0.06244943257848479 d
167722437,0.05312524410239954 d
348998165,0.01801532765338688 d
167571315,0.07159710588807723 d
158588995,0.07063349264805022 d
469970578,0.05552662753884751 d
71094440,0.0561358880446316 d
101534291,0.014956708675036463 d
38516712,714.1091650353374 d
358402782,0.017723382612688188 d
359271092,0.016930888152916962 d
294780517,1.0340868628503233 d
40601527,0.04841090793589537 d
332819192,0.02114565969052079 d
47423224,0.06349135730634883 d
9007748,0.07505978512879553 d
260658693,0.019016548312204853 d
117979694,0.06285391002526006 d
370037727,0.036124506348960986 d
144440290,0.09056777239676939 d
219418800,52.791119666751584 d
140760164,0.017774528091333865 d
173758971,0.06205970968586191 d
306736346,0.03425601003429955 d
77031414,0.12596227283050618 d
220458134,0.06255153786829078 d
55440009,0.05655045362030094 d
306470000,0.018960511316112993 d
167344559,0.032172894297534345 d
231267777,0.0379240921433693 d
5362024,0.05663306851204903 d
270672809,6.864121519760468 d
219165313,99.52983099868949 d
36758481,0.0168174699470629 d
260636511,0.06330196008058228 d
64070385,0.023537577027038587 d
373594903,0.059405152728878995 d
224269420,0.06476775461765874 d
364265848,0.06659938326073303 d
63898957,0.03160492431933961 d
177308364,8.50130501687239 d
350341850,0.06579225948167233 d
166738041,0.016588818300410233 d
238813498,0.07065620294169818 d
167792845,0.0567338972458147 d
266680951,0.061671731157856374 d
238896611,0.057758169159025284 d
77156829,0.0592611047937253 d
25132694,9.650125380998668 d
375033759,0.0609724613323995 d
121286320,0.02425435385951158 d
200438019,0.01419566174653984 d
431999925,0.05786558511076072 d
425085686,0.03284167418596403 d
31636394,0.05863136479698975 d
201426753,0.08884057321690994 d
25115881,0.016291960458576272 d
219166768,0.07090703049162607 d
150164875,0.03294774422488744 d
219398128,0.08720313196197069 d
294781547,0.06647824493751897 d
149348420,0.05923771786458757 d
278137090,0.031967248240895155 d
287156968,0.022859937978755594 d
149631035,0.06598681704553959 d
207238086,0.05946739928943446 d
374859347,0.058019932066872976 d
177167539,0.060732262507151566 d
385194991,0.06731709560762454 d
302962949,0.05944769884871433 d
30035088,0.034727878949630475 d
127530399,1.7725256182113331 d
189013224,0.03253654761685944 d
150272064,0.0639252920695204 d
277634430,0.09303887105602102 d
77612635,49.27147465373855 d
179985715,0.014236077087615526 d
1449640,3.5032413488605014 d
177160343,0.018350025545727223 d
234306483,0.06695952725276247 d
161495840,0.06559546707832262 d
11518255,0.07095913378964767 d
306470809,0.06712188544735535 d
386563186,0.023197313112680685 d
33834447,0.0691966424596487 d
112395568,0.06471758822838013 d
117979897,0.0551373243173283 d
134537478,0.8578229506144229 d
19451711,0.05487828012948381 d
350583992,0.01640536833823073 d
77156829,0.0592611047937253 d
82128636,0.020550500781163963 d
323132914,0.032741280757576326 d
161477033,0.06653613842873692 d
150105613,0.015623337674139386 d
108645766,0.02268951984107523 d
181202771,0.07190368761091781 d
423275733,0.06407155379715336 d
309617509,0.025499348247418126 d
262922700,18.381932752155688 d
260001578,0.06978129917274707 d
229142295,0.05449451898502638 d
287870438,0.02455603681606866 d
52640302,0.11235779281896591 d
92566472,0.02064471439893783 d
149303310,656.4792554913593 d
349523641,16.22976467386412 d
31553893,0.05695703184075415 d
279091106,0.07398641167156715 d
300601006,5.409921904190214 d
147660201,0.0827133321764312 d
300378596,0.06545459792885638 d
285972083,0.033978447075739104 d
350954963,0.06250511206887548 d
266815603,0.022547866603963636 d
262039241,0.06226474413320074 d
277716959,0.014885959653536418 d
47484268,0.05981779707123895 d
31927068,79.345623491482 d
141425349,0.06187051376927295 d
287350462,0.08047087331352329 d
459942762,0.06376707844140031 d
150322340,37.58470614232434 d
261397043,0.06714711941622137 d
88533834,0.022851996220646115 d
152476657,0.08209436594584321 d
77957301,0.32226767651910443 d
37743302,0.020729499305178554 d
123849672,0.04379446456338107 d
31704987,0.020408057365316416 d
25132265,238.0364131292954 d
130645536,1.2821229660597768 d
279317755,0.07159710341615393 d
149269178,9.155247724856434 d
150188736,0.08957719483774439 d
339891905,0.014765924397156313 d
38634757,714.1091748907711 d
40897656,0.05956085622548053 d
349152048,0.11104198104457504 d
150105372,0.05491411443916188 d
33937232,0.016069880148801376 d
140635285,0.03076731851583682 d
350858713,0.09307993720151365 d
200742486,0.05551741501761305 d
301057445,0.029387691289191983 d
55500860,178.5272973446538 d
437248515,0.5693032142160787 d
277683130,0.08485213656763854 d
31943231,0.036219854264707745 d
358290735,0.06249845677250263 d
318566416,0.034892543224185196 d
403693875,0.015339700120524534 d
270577175,0.021079702510602354 d
290716988,2.365748788779187 d
301927363,1.1975000920790995 d
290405947,0.06680176294137694 d
152970468,0.055427413101082575 d
54962195,0.04651248803810337 d
349190908,0.06830983223306485 d
48103627,0.05233144490312666 d
178805087,0.423763521993978 d
231912935,0.014472767086178935 d
294205275,0.06687045360434093 d
176954188,0.06314524592554265 d
339859805,0.014678811614601425 d
55745413,0.06059475811838545 d
170785407,0.037780434425612276 d
161439851,0.022096380065883017 d
408416746,16.423763466898134 d
178819686,0.061724319634705906 d
261136679,1.994719501912932 d
92235664,0.016451187643059598 d
370136985,0.06595634290877887 d
149301575,0.06529907214480306 d
55603841,0.032781361106289014 d
306668068,42.0064564498117 d
47316976,0.01456867768220788 d
79020913,0.05949572025281855 d
342888854,0.7950748502416969 d
350091456,0.0668454259837595 d
260608940,0.06772661279443495 d
98796344,0.056733018970223724 d
348895887,0.06049725403766918 d
238870817,0.061296931211551615 d
141867607,0.05727998359367894 d
281575427,0.03553267770986968 d
260852224,0.024799079683771357 d
373844472,0.10217638415794401 d
220480048,592.8024113246374 d
166969346,0.10481571605552331 d
141530700,0.014657720602803941 d
358289247,220.32022465777527 d
150164523,0.06206638917460962 d
419012256,0.02458202890789621 d
158595208,1.5655493719432083 d
25077712,0.033168165513392425 d
317060587,0.05953404355025442 d
192834450,0.052203085775442026 d
410488062,0.06051915800495776 d
325680697,0.1217085205494154 d
237933846,0.07071087648647517 d
141121335,0.059381125556604394 d
279835119,0.059232558602321544 d
272232401,1.0238483222651533 d
124779394,0.03403597179719722 d
350933263,0.062042514743037916 d
199780506,0.0707822515491743 d
59710513,0.05448473195061349 d
396697266,0.02095845454297273 d
402028045,0.032024606307229815 d
350930672,0.06006987429452478 d
167752123,59.50924493168649 d
387690507,0.03305538471449946 d
38461594,0.016974711954941577 d
7088246,0.030031104731222454 d
219155856,0.02131568780470286 d
142206123,0.07882900695129097 d
425935521,0.08278658728702068 d
278024057,0.07006570513462872 d
4616072,0.03291392547746325 d
407966340,0.018305841165760547 d
55367248,0.020811017350819604 d
294981037,0.015883244672993554 d
176875632,0.0675664331288027 d
301859899,0.3237817995349593 d
161477033,0.06653613842873692 d
327301957,0.06665903596424007 d
155565608,0.024876211732547806 d
355492824,0.06601710857204421 d
260972843,0.07113778123835923 d
158978373,0.0696624586686651 d
278962915,8.64188351832513 d
206496383,0.02447422732340896 d
58493240,0.057753660070717965 d
300935162,0.07203043472011741 d
374911986,0.017235279580816006 d
260608820,0.021758360847617793 d
149217342,0.017074912451805434 d
177258735,0.03431239734965689 d
78193340,0.06920096854338581 d
267089153,0.0190788113989135 d
350298948,8.501300569853946 d
146733185,0.022755952463601865 d
440887364,0.02959687028130181 d
260305086,714.1093742312978 d
339962133,0.02321989721994696 d
183532609,7.827709236585764 d
149391878,42.00642835226956 d
177252842,0.07205222485240577 d
167367091,0.016614580888001954 d
219164808,0.10481628351577463 d
35857242,0.05418110926068663 d
220454507,119.01818431914982 d
293273032,0.05567236770555403 d
407621029,0.06751531101548247 d
277295979,0.035728764607710434 d
179123560,0.01507230641025336 d
307210830,0.08387873495947211 d
377064495,0.016154360594098045 d
22760643,0.05916736647793062 d
198051539,0.02212562838787838 d
327857282,0.020778387230989848 d
214990792,0.028042962869531764 d
340219007,0.01558170774752907 d
259901346,0.01577669284457973 d
178947176,0.06996923111307131 d
7144533,0.05654679293435654 d
231811922,0.03212985241078137 d
219164846,0.014334933580452824 d
389506883,0.031071202433439526 d
55402208,1.9947185410396207 d
158647872,0.06623894436060337 d
365441779,0.03155944980692545 d
262610117,2.2742347259451057 d
144162612,0.020263546054345584 d
275248683,0.06491554677299297 d
300810086,0.0668107200444344 d
153835980,0.022267669887006642 d
31747041,0.01602846704901243 d
59843967,0.057203621704088915 d
32000460,0.06692055992975919 d
177163800,0.058280502400091486 d
309472899,0.05901021861800599 d
270259954,0.02056050098409674 d
26073633,49.271531241457524 d
359271092,0.016930888152916962 d
434234955,1.20938838475944 d
260656168,0.05483037370757702 d
432008938,0.05808722394467014 d
177162886,0.06079785148462006 d
25155310,1.6454130489782366 d
382625142,0.032978190375855206 d
150030205,0.06749615910040153 d
340313069,0.07259439555289512 d
257720049,0.06975098356731187 d
237388253,0.05791398997904564 d
256836445,0.03231956904612028 d
177115893,0.05885195285478171 d
404768019,714.1094138298718 d
279859945,0.060364792831919256 d
14614418,0.09306713362506926 d
278861774,0.0625972518015917 d
593228,0.6736807303414725 d
398570754,0.016377543955957547 d
44745077,0.0749989454387636 d
247463344,0.06780564687295101 d
25375553,2.321726260127017 d
178155732,0.05865456488845719 d
65263849,0.06401208697497525 d
181159386,5.544555563608507 d
322063810,0.06609645148585243 d
260003879,0.07531209765921854 d
150185722,0.014221605092915115 d
55399276,0.05649598288746387 d
257397333,0.056432018630294734 d
432089011,0.03712938556420577 d
11613065,0.02885879975785352 d
391904697,0.020631851461305636 d
281764250,0.02118859480213272 d
237914496,0.021189228911341666 d
234297001,0.017222411074063044 d
434106275,0.06386286332923194 d
139112038,0.032224214332240014 d
300444243,0.06515599182922342 d
382551191,0.017584734566139355 d
394679808,0.07189987041445722 d
355653041,0.03761727190841536 d
38600988,0.015422858113946074 d
355788712,0.017411383615544028 d
309702890,0.038701620035329114 d
201293664,0.07133471351523334 d
131419878,0.06115583068773622 d
140282940,0.05469960108123667 d
52257075,0.015545466367337285 d
261261283,0.0756553641792938 d
165317334,0.017552330901812817 d
375060694,0.06962180963062642 d
140576174,0.05652486619744599 d
219388773,0.03570277945420569 d
300653260,0.0575245445813115 d
340781051,0.07017043129651748 d
238950307,0.07592531659204736 d
7422496,0.0625181040479826 d
55497281,1.1462426108654264 d
306773428,0.02536613183644856 d
38875458,0.01493514851734038 d
349833420,0.032648062442077574 d
452533640,0.03480350806854543 d
20208418,0.03146733743774387 d
260004324,0.02046510274926164 d
300382764,0.029748371782573595 d
141609430,0.014183192156862045 d
261261527,0.06867759170984411 d
370236000,0.04493799272116558 d
200362199,0.021353290881189705 d
418096656,0.022726617294234374 d
381976956,0.12953211329956615 d
269450900,0.772748005953743 d
280790195,0.0578862104870541 d
167755378,0.06259726042557083 d
278897420,0.0649072418092149 d
140580497,0.02268598368605918 d
300035305,0.07274955448807129 d
271889486,0.06636707287428321 d
278897257,0.0632123105859161 d
354518617,0.01798073677437909 d
306668667,0.060982900029791204 d
234330747,0.05418046775367909 d
237340884,0.01840884329303888 d
219145177,0.05832963890416975 d
29828903,0.06000414308466092 d
381949122,357.05526244840144 d
49710555,157.54897378320766 d
255632493,0.03429458626343366 d
176985618,0.05872128684843762 d
260241479,0.06177435604551311 d
149930150,0.031662204546253056 d
260647166,0.02428755990693976 d
350298314,11.901820918104704 d
204291254,0.02152132779952631 d
101948569,0.03384459804278886 d
219998026,0.0731185877261238 d
308994098,0.8015864630286862 d
235044662,0.05332153954823195 d
382043075,8.816162186950834 d
156991337,0.06495691078240824 d
358290717,1.8673318133584786 d
220419648,0.02028990744338368 d
141708546,0.06983956791735857 d
260356437,0.0654905909867821 d
150165657,0.04601516779849606 d
149599971,0.06756001380518246 d
290303700,0.016508562150058078 d
261108236,0.058121806948747926 d
386240361,0.02938708387035313 d
271972463,0.08486152257358603 d
150359892,0.034403306460241256 d
382244825,0.014228145188984102 d
4510663,0.058411098112955064 d
220481232,0.06349894722242573 d
309791156,0.06090484172754097 d
100990000,0.057821470962302744 d
394134586,0.062080881904615366 d
259408567,0.015344057048344312 d
238027971,0.033130933521520495 d
177258735,0.03431239734965689 d
158111564,0.06493815579845237 d
401841366,0.031374447589417896 d
469936356,0.020036243528960784 d
372816349,0.03366444023094745 d
238007651,0.02261474475194746 d
166833457,0.7407375605329564 d
281924357,2.502156441359417 d
261236136,0.061160586453991896 d
30828562,3.097544723018307 d
150099511,0.05770466933974106 d
453465810,0.09551397324665993 d
144458200,0.05114564316130898 d
178855846,0.05917417726712237 d
149155198,0.017160345965168015 d
38517724,0.054061998460434156 d
255562254,0.0601171285208739 d
149993861,0.07079502186033923 d
38508639,0.019609225131898063 d
169532369,0.06447419869296556 d
299833889,0.06235129475792176 d
41256240,0.0678940373969665 d
278776865,0.031283604717392464 d
119081096,0.03271616707742405 d
140760434,4.551132097193486 d
349833322,0.016813690691211716 d
12421862,0.0698909186987354 d
306738971,0.050920547871746186 d
142107756,0.01517058148606656 d
3127674,0.09643325187447739 d
38703652,0.017913322277613594 d
219367750,39.56757462397195 d
279741379,223.0731256113022 d
440777904,0.669792943535724 d
33910266,37.584708867643776 d
294667331,0.020151090197070325 d
391844777,0.058759089835203185 d
124306858,0.02070339986261364 d
308307606,0.060545037418462885 d
50381137,0.018203142471408217 d
350655914,0.0526357541896269 d
279649049,40.45611852267848 d
350622984,0.057234049977541106 d
200460091,0.06923898273805947 d
220421985,0.06324586952890546 d
63835575,0.0540231905632833 d
141977935,0.06685167586436387 d
237920046,0.01979566674269208 d
77700654,0.05428588237689025 d
149302744,0.015063083944357503 d
287776397,0.029757897450084357 d
303676299,0.07309654739446814 d
300654773,0.0650966001129734 d
38709365,0.06127063088223653 d
178709444,0.0827665039934652 d
167417695,0.07170748147864844 d
49064384,0.053125220910364465 d
350297075,0.06666441401668372 d
300293197,6.0009214806021856 d
60175114,0.06605773236417867 d
152147232,0.07392713267035814 d
141610050,0.05830417704147052 d
38461883,0.034023020220137465 d
257605131,0.053019695006127736 d
234968549,0.0648994391997494 d
200851505,0.06235610902183285 d
46096489,1.0403758318452476 d
29828884,0.07075993925919184 d
238009531,0.06236711610494657 d
381925635,0.017236095713357068 d
100993643,0.02356770424106499 d
468148930,0.06883865070000886 d
117979951,0.013952703013494617 d
150064525,0.02896586271602892 d
300204306,0.015011338255364817 d
338150022,0.014628926001479416 d
141548474,0.024644010629950957 d
141941684,0.05720198543983523 d
350146388,0.07031420724383695 d
248391508,0.037938600261431664 d
279569731,0.05862488931832597 d
141867627,0.07061302849052145 d
278380701,0.0669461625921406 d
150098979,0.02183056291439036 d
41488112,714.109460330948 d
300381910,0.0639482100205955 d
176955267,0.21765039889560986 d
306735461,0.059335303874841226 d
32050414,0.03369075360152502 d
142299854,0.017382281720382236 d
408130762,0.06867263912495429 d
349485031,8.50132162755351 d
410094645,0.6658166883749382 d
289793076,0.05511411283335909 d
307160287,0.06119324924674985 d
382188882,0.11428594749095021 d
179034327,2.668095414142192 d
32154146,0.016382785631614622 d
192790473,0.05851197669303457 d
58532199,0.06184824707896323 d
143987080,0.0761907974796085 d
259539733,0.016495124727317494 d
349766265,0.06816625228342038 d
251848941,0.061429010939425724 d
12423815,0.06484560858138536 d
92623536,0.059709110479361976 d
220431435,0.0714323398220722 d
260647166,0.02428755990693976 d
33877907,714.1094099133425 d
142019343,178.5273938151796 d
231917352,0.03667009584175748 d
437242640,1.075347549804701 d
307440881,0.014323423185806615 d
273984891,0.035051826372960296 d
350861314,0.062199228225505776 d
260355239,0.06260273316130732 d
64910894,0.05948350274218809 d
350765484,0.0735815889505547 d
65325369,0.06625236906335392 d
234288627,0.021768044567575553 d
176875890,0.07276438130061101 d
394345947,0.03213097060829814 d
259472757,0.06903139539326109 d
55745883,0.06987369889635052 d
408191404,0.06861743530507246 d
261333545,0.06766887111806523 d
320004517,0.030212578906566062 d
65673065,0.05905264501301949 d
391892828,0.059232722885312096 d
383188202,49.27035465638619 d
33831980,0.03330119476582246 d
32153468,0.05909055017440039 d
24972344,0.08296997501004326 d
29900813,0.03172949294976391 d
261417533,0.05700108686635181 d
407621805,0.07145381814686323 d
396720998,1.5356022894945014 d
369707376,0.06491111384912877 d
167722419,0.06237309221800971 d
4646810,0.020245213429599344 d
287563610,0.0319786552657321 d
237920961,0.03267006193087322 d
262610450,0.06532885392677987 d
149124536,0.06071526334528573 d
120562863,0.01437784044478007 d
21747890,0.06006562460219781 d
248075138,2.4998339539881043 d
198008658,0.03170885536374033 d
278732681,0.0332174754902435 d
237926943,597.177561397034 d
394356010,2.654682030597144 d
300323956,0.015002933982125086 d
200787021,0.018342316176490393 d
410150471,0.060160973475234546 d
183979262,0.8581972438440006 d
161401705,0.04942291946451537 d
271807631,0.06398259106641392 d
166739520,4.9616534894233455 d
387609654,0.017836887745185943 d
271574619,0.06573779346614123 d
301051051,50.88262130802196 d
404763926,0.022532796538455184 d
299901449,0.02122134576899531 d
33733359,0.059041701582002414 d
69679391,1.7318471108045626 d
165191701,0.014227073856031613 d
350841387,0.06372561979336981 d
238809626,0.058010096964080146 d
350563576,0.05609215520649768 d
140282069,0.06386096967278668 d
393411975,0.023734296774364227 d
177253314,0.06243308328812656 d
306741844,0.06801693165575365 d
25994436,0.031403988653185645 d
335630746,4.520495488252023 d
192790476,0.05427153808447511 d
303610879,0.033156499184300435 d
33879314,0.0221768715971469 d
177077336,0.06387877606307324 d
344136084,0.03599006885244096 d
307218050,0.019126564763848282 d
25153041,0.06266865241101016 d
159951311,1.1833178899547252 d
261257027,1.0690263680299916 d
220429097,0.06401695332121571 d
386435344,0.061280932518235985 d
382391899,0.9782723209918484 d
140635646,0.07980660295759981 d
372908153,0.056978972258994516 d
149101226,0.06197789448050331 d
279157165,0.06332441977041652 d
279091327,0.07776429292196298 d
230980302,0.06047917333408487 d
415969908,0.02254870627069015 d
382101861,0.06424746458441316 d
219189765,0.07211759174028254 d
300290097,0.05596920228373095 d
238182521,0.07055719359204161 d
181804752,0.06844471071918624 d
178967288,0.06095924843595287 d
350027679,714.111081016812 d
35722731,0.06497449686136911 d
167365279,0.03403114424552698 d
259701242,0.06705889750428222 d
391903048,0.06544872621888023 d
358510446,0.0229702492059454 d
150151262,0.07414683052017527 d
306362738,1.40424902303187 d
149422087,0.06579267845613139 d
260647166,0.02428755990693976 d
260647166,0.02428755990693976 d
455096220,0.09606331991677536 d
166975595,0.07482287688333183 d
267320484,0.05454833623168133 d
348962012,0.05961345469619939 d
55269981,0.06623775555980421 d
300809119,0.01390888006642969 d
262818224,0.06527975283519262 d
33881030,0.05665298009212521 d
262530407,0.0770663113580052 d
278078825,13.473767522596424 d
193032655,0.03545644147119948 d
174143743,0.07058693881284746 d
22221375,0.022078795625720397 d
29780677,0.24455797706262783 d
350522196,119.0182055972842 d
122574949,0.05785057085787262 d
425086652,0.07412401336856599 d
229137615,8.682785793521399 d
279675336,0.07029737378331537 d
458589703,0.05414867453360625 d
34068865,0.06435860230554123 d
349306411,0.06680789698032133 d
139200489,0.02131090378608355 d
156987351,0.08257053774625543 d
53411081,3.3486432628076446 d
160329609,0.0565366165396515 d
272085437,0.06741335954659534 d
279425700,0.05985328300166567 d
149930009,0.07155404381062336 d
278867391,0.028762903826207116 d
172622384,0.03278974714663071 d
21621578,0.032068246937339256 d
300810012,0.059733142812772685 d
30403921,0.06688922410997888 d
67160409,0.08244611910816182 d
141865875,0.04462906024260656 d
200525363,0.13151372015164928 d
167796016,0.015579325559647706 d
22529346,1.2867313711844275 d
36124955,0.16690220559534408 d
141808675,0.02352681900379977 d
114921859,0.05490695354313174 d
149251911,0.013961997850354508 d
200729521,0.030672342264620005 d
306773646,0.05589322962223504 d
141768070,0.08987779272937445 d
374862395,0.06821180604043559 d
350434446,0.06641023061209406 d
422478973,0.019523189930512934 d
186812530,0.10817738160067146 d
178199109,0.031671171243122055 d
350142099,0.1688202590875779 d
293271232,0.21665943202393181 d
178170409,0.017734331459661884 d
270576040,0.05214543181161521 d
234282159,0.023874928493745957 d
55451918,0.0699527852328133 d
389743328,0.06598094034317492 d
382257055,0.06003944968057199 d
388198760,0.26665776697277843 d
124494439,0.05448299442899296 d
410214986,0.07493056450934402 d
311183180,1.1057389316368709 d
447061717,0.021651475312034478 d
141608198,0.0659685471684933 d
201791255,0.06194654575956066 d
260417220,0.058207083242304614 d
370235284,0.06837511029467493 d
110428269,0.03295693181334557 d
32152605,0.0561980992968834 d
350345393,0.08001223916754255 d
454082369,16.633743368517116 d
78110891,0.015622504414743749 d
405454160,0.051592728582659335 d
177255827,0.06562301410881065 d
278992674,656.4795529848293 d
77206826,0.017164558307276114 d
404452681,0.017693375102314692 d
41170928,0.033553110295130896 d
328465904,0.08178554807024568 d
135162188,0.05930748097356928 d
101774867,4.52053508468436 d
301049767,0.032378212783150014 d
339771969,0.060287197916920214 d
279088442,0.03233758390135697 d
92359850,0.06362506341926463 d
32636530,0.03525080008741506 d
442893646,0.05572417790808558 d
149971828,0.014402302602060778 d
148479278,0.07612803129728826 d
281498595,0.017279550554334486 d
219195044,0.016351161066179176 d
300443794,0.018550712410764423 d
140894354,0.021949635296039775 d
348993084,0.06879005805285837 d
147407292,27.874119942946205 d
152475404,0.09378581824966076 d
15445551,0.07010202633553146 d
