class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep
not,454281030,9.69307,3760,0.539608,0.0524328,2,7676.17531
not,141768040,10.4383,5051.02,0.8168,0.391239,1,0
not,141545616,7.8209,6471,1.78911,5.05652,0,0
toi,260476837,12.7918,4814,0.804149,0.358742935,1,0
not,453101363,10.1856,5739,0.963499,0.907281,1,0
toi,299945285,10.0176,6270.01,1.59084,4.040284049,0,0
not,349273158,8.0468,5758,1.50079,2.23059,1,0
not,260266504,5.8911,6042.05,1.56247,2.93125,1,0
not,255564289,8.6783,5529,0.900479,0.682698,0,0
not,143047975,8.0891,4319.62,0.630123,0.124545,1,0
toi,118327550,10.3475,3407,0.407103,0.023066574,1,0
not,293975288,6.5452,7107.09,1.49601,5.14434,3,20398.5198
not,260638705,10.5957,4785,0.637591,0.192002,3,2744.514526
not,374996363,9.267,6420,1.28615,2.53173,1,0
not,413248763,8.74094,3490,0.360144,0.017336,1,0
toi,88977253,12.33,6784.68,1.50565,4.961939824,1,0
toi,100100827,8.8287,6226,1.34658,2.814405983,1,0
toi,339733013,10.0793,5905.84,1.31852,2.184671342,1,0
not,406345385,8.7905,4830,0.596589,0.174516,2,10750.51974
not,349055189,10.4265,4639,0.751018,0.235339,1,0
not,150187916,7.7957,6178.6,1.5321,3.08198,1,0
not,260159741,9.5248,5734.1,1.23082,1.47552,1,0
not,219144853,9.9548,5072,0.853256,0.434081,0,0
toi,238898571,9.954701,5655,0.850302,0.763770356,1,0
not,349273907,6.9926,6216.76,1.2732,2.18143,1,0
not,294092998,10.2409,5354.19,0.8662,0.555528,1,0
not,38815302,9.8891,5473.81,0.927816,0.696269,1,0
not,259962054,12.2423,3209,0.232489,0.00516391,1,0
not,391893148,9.5211,5659.18,1.03982,0.999146,2,107282.4175
toi,243200602,10.491,5603,1.05922,1.142196421,1,0
not,77111228,9.3607,3461,0.426039,0.0234639,1,0
not,279362204,10.0835,5606.63,0.879985,0.689371,1,0
toi,460205581,9.9322,6104,1.00693,1.453927063,0,0
not,149347296,9.4916,5857,1.16465,1.43808,0,0
not,382627751,9.6852,5604.57,1.00931,0.905549,1,0
not,38707482,10.5508,4599,0.784068,0.247774,1,0
not,38469800,9.8871,5992.78,1.05687,1.29792,1,0
not,260795157,7.7286,4745.18,0.618071,0.174495,0,0
not,278959348,9.3539,6228,1.07982,1.5805,1,0
not,382624566,9.433,5204,0.901578,0.537095,0,0
not,375092128,7.1496,6588.79,1.46735,3.65582,0,0
not,31799975,5.5696,6688.24,1.69396,5.17304,2,14703.55565
not,150359500,9.74783,3286,0.364844,0.0139823,1,0
not,167526213,7.8848,5645,1.09383,1.09459,2,1389.766454
not,142146835,8.4793,6345,1.62746,3.86761,1,0
not,43866397,7.3115,5255.83,0.83563,0.480051,1,0
toi,380783252,9.7825,5188,0.943786,0.666550244,0,0
not,150151262,9.9059,4504,0.720461,0.192446,0,0
not,157324520,5.8399,5563.6,0.915614,0.723674,1,0
not,41230546,10.0834,4987,0.757607,0.319846,0,0
toi,120896927,8.3157,5175.2,0.841842,0.525116532,2,2308.894309
toi,304042899,9.5369,6760,1.5288,5.041666243,1,0
toi,360742636,11.2474,5693,1.03997,1.173524925,1,0
not,140940493,10.2112,5516.25,0.820647,0.561802,1,0
not,220423218,12.9879,3230,0.20355,0.004063,1,0
not,88478720,10.7958,3445,0.304287,0.0117495,1,0
not,377018326,9.1796,4664,0.906501,0.35032,1,0
not,220571983,8.065,4331,0.687045,0.14963,1,0
not,141024724,10.2862,4572,0.756092,0.225045,1,0
not,167201200,9.1265,5908,1.06366,1.24184,0,0
toi,164767175,9.45661,5784,0.918917,0.976228921,1,0
toi,425206121,9.654,7440.77,1.67335,8.866067999,1,0
not,197602069,9.0985,4006,0.564062,0.073823,1,0
not,25116423,11.9298,3491,0.407734,0.0222458,1,0
not,309792357,10.0391,5180,0.878413,0.500508,1,0
toi,167415965,8.0089,5346.17,0.798267,0.537716509,2,4110.879817
toi,407126408,9.6181,4969,0.732535,0.337923743,1,0
not,382157798,11.9883,3256,0.299066,0.00905662,1,0
toi,159510109,8.8523,5920,1.1179,1.585545464,1,0
not,24695017,8.5302,5176,0.778876,0.392291,1,0
toi,49771092,14.8067,5088,0.942522,0.614974861,2,3024.507504
not,290777240,13.0976,3095,0.181833,0.00273327,1,0
not,382160241,9.6409,5468.5,0.919462,0.681138,1,0
not,151956235,6.7567,5734.96,0.868334,0.734835,1,0
not,147946697,9.23615,3904,0.681365,0.0971614,1,0
toi,9727392,11.2932,6421.5,1.70005,5.076393706,2,6085.170051
