class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
0,144162612,9.758,4554.9,0.459572,0.0819062,1,0.0202635460543456,402.842018432718,0.000811747779963151,1.64421371964885e-05,1.00697042664176,554.9,0.534969711756405
1,275248683,11.4407,3427,0.387661,0.021411476,1,0.064915546772993,0,0,0,0,573,0.35620811831502
1,300810086,9.0567,5159,3.77481,10.42649323,1,0.0668107200444344,75.8781885876951,0.998644720756502,1.60188604566311e-05,3.58962720308291,1159,1.79694409696938
0,153835980,9.1578,4642,0.763551,0.243888,1,0.0222676698870066,0,0,0,0,642,0.702744747195172
0,31747041,5.9304,8297.96,1.61995,11.2095,1,0.0160284670490124,24.9926604478097,0.997442050451271,9.28276383474428e-05,0.884104555132015,4297.96,1.82977024220601
1,59843967,12.7632,5312,0.982638,0.794155111,1,0.0572036217040889,723.787966909295,0.998698826116417,0.0016103253181564,2.88599123495536,1312,0.944009432598196
0,32000460,8.4535,6320,1.33166,2.54887,1,0.0669205599297592,150.678424784793,1.00408913826527,0.066894629031505,1.78449224098166,2320,1.26353396722709
0,177163800,10.2105,5205,0.924782,0.565531,1,0.0582805024000915,261.950971501895,0.000359728338582601,1.51902769039186e-05,1.63397402486566,1205,0.867189686235591
0,309472899,8.9103,5222,0.789821,0.417927,1,0.059010218618006,126.285215076163,0.999083664119826,0,0.968948521484591,1222,0.804035283581631
0,270259954,7.3281,4837,0.748618,0.276388,1,0.0205605009840967,70.7398169624494,0.996875615876793,3.51426778685619e-05,0.687365934049895,837,0.72506976523785
0,26073633,7.3214,5069,0.719704,0.3081,2,49.2715312414575,321.026978896166,0,0,1.40773353297686,1069,0.745028565529616
1,359271092,7.66874,3745,0.525276,0.056061971,1,0.016930888152917,21.6099709383138,0.896354462725905,0.00127670405770973,0.26656947901399,255,0.486594382165576
1,434234955,11.3818,7011.02,3.60317,32.40263212,1,1.20938838475944,221.235666275979,1.20054570848003,0.522139642642268,5.85070360951999,3011.02,2.45382451662489
0,260656168,7.5928,6160.6,1.14403,1.69848,1,0.054830373707577,0,0,0,0,2160.6,1.14160302088638
1,432008938,13.7006,3362,0.35645,0.016767721,1,0.0580872239446701,3754.08215771152,0.886413066949952,0.0513161272694302,2.38421973818547,638,0.320288855381193
1,177162886,11.5865,5591,1.18787,1.42423534,1,0.0607978514846201,499.414272409845,1.00274606512301,0.0607223831841395,2.89797852302976,1591,1.09243458148501
1,25155310,10.6103,5675.54,1.24175,1.652658239,1,1.64541304897824,1077.98156734203,3.52634319499199,1.53556792837922,4.45077468919066,1675.54,1.13382430719341
0,382625142,7.3449,5623.44,0.886644,0.708274,1,0.0329781903758552,40.0421997810375,0.999877788961264,0,0.61249707225896,1623.44,0.917382233062888
1,150030205,9.1059,5116,0.793597,0.4456646,1,0.0674961591004015,225.328117082019,1.00439326447664,0.0674852429319285,1.30047942255034,1116,0.817056397144726
0,340313069,8.1755,6286,1.49909,3.16115,1,0.0725943955528951,107.480564954753,0.999545042620887,4.77880336048372e-05,1.69663511369645,2286,1.33340253367504
0,257720049,8.7146,6416,1.42365,3.09429,1,0.0697509835673119,128.538206516304,0.999585867590404,2.75614005129813e-05,1.76203740694539,2416,1.32629536972417
0,237388253,8.5138,5350.97,0.850679,0.534511,1,0.0579139899790456,131.539162246259,0.998458100641883,0.00144746061640702,1.0650966561062,1350.97,0.855045374222962
0,256836445,7.8072,5177,0.77001,0.383708,1,0.0323195690461203,117.447649632892,0.997109855366321,0.000986066134317316,0.910991456169789,1177,0.787046176599239
0,177115893,8.8679,6908,1.42812,4.18443,1,0.0588519528547817,102.310751870565,0.999604505987385,1.07959390751182e-05,1.57696158114077,2908,1.43024051650224
0,404768019,9.5851,5390,0.908601,0.627763,2,714.109413829872,1859.98199773166,2511.29505294465,3.5166697417192,4.27782835115905,1390,0.890120757327535
0,279859945,9.7105,3470,0.377477,0.018612,1,0.0603647928319193,0,0,0,0,530,0.335155030678453
1,14614418,13.3898,5670,1.01656,1.103276149,1,0.0930671336250693,2135.09994672099,0.995008399358161,0.000153735324332882,5.12788049383647,1670,1.02487537278297
0,278861774,8.7848,5302,0.801806,0.457712,1,0.0625972518015917,52.2078764916208,0.999808477004132,0.000280016565078431,0.632460038081628,1302,0.822523045076629
